"year","mean","median","lcl","ucl"
2015,134.954,135,60,210
2016,137.492000000001,137,57,217
2017,143.355,144,59,227
2018,150.143,149.5,62,243
2019,156.952999999999,155,65,255
2020,163.698,163,64,269
2021,169.391,167,65,286
2022,173.514000000001,170,69,295
2023,176.538999999999,173.5,71,292
2024,178.369000000001,177,69,295
2025,180.132999999999,179.5,68,296
2026,182.577999999999,182,69,295
2027,184.774999999999,186,67,298
2028,186.714,189,73,301
2029,187.853000000001,189,68,300
2030,189.184999999999,193,69,298
2031,190.252,192,69,296
2032,191.788,194,70,296
2033,192.495000000001,197,72,294
2034,194.072,199,70,296
2035,194.182999999999,198,70,292
2036,195.809999999999,202.5,73,293
2037,196.993000000001,202.5,73,295
2038,197.242000000001,203.5,74,297
2039,197.858,206,72,296
2040,198.585000000001,205,73,301
2041,199.09,209,73,299
2042,199.887000000001,207.5,73,296
2043,200.354000000001,207,74,295
2044,201.155000000001,210.5,75,296
2045,201.885000000001,211,72,295
