"year","mean","median","lcl","ucl"
2015,81.6120000000004,82,36,127
2016,83.7149999999999,84,37,131
2017,87.5999999999997,89,37,140
2018,93.2930000000003,93,39,151
2019,97.6130000000004,96,39,159
2020,102.367,101,41,168
2021,106.53,105,41,181
2022,108.762,107,43,187
2023,110.814,109,43,189
2024,111.990999999999,111,43,186
2025,112.865,111,43,188
2026,115.050000000001,114.5,42,188
2027,116.865999999999,116,43,189
2028,117.966,118,44,193
2029,118.995,120,45,190
2030,119.572,121,42,191
2031,120.592999999999,122,46,188
2032,121.329,122.5,45,187
2033,122.356,124,45,188
2034,122.863,127.5,44,188
2035,123.824999999999,127,44,190
2036,124.378,127,46,188
2037,125.204,130,46,189
2038,125.576,128.5,47,190
2039,125.682,130,47,190
2040,126.506,131,45,191
2041,126.805,130,47,192
2042,127.065,133,46,190
2043,127.733,132,48,189
2044,127.883,133,50,188
2045,128.748,134.5,47,190
