"year","mean","median","lcl","ucl"
2015,0.998,1,1,1
2016,0.995,1,1,1
2017,0.994,1,1,1
2018,0.994,1,1,1
2019,0.991,1,1,1
2020,0.989,1,1,1
2021,0.987,1,1,1
2022,0.984,1,1,1
2023,0.974,1,1,1
2024,0.963,1,1,1
2025,0.956,1,1,1
2026,0.949,1,0,1
2027,0.953,1,1,1
2028,0.946,1,0,1
2029,0.951,1,1,1
2030,0.937,1,0,1
2031,0.936,1,0,1
2032,0.949,1,0,1
2033,0.935,1,0,1
2034,0.929,1,0,1
2035,0.917,1,0,1
2036,0.921,1,0,1
2037,0.926,1,0,1
2038,0.918,1,0,1
2039,0.912,1,0,1
2040,0.906,1,0,1
2041,0.896,1,0,1
2042,0.9,1,0,1
2043,0.89,1,0,1
2044,0.888,1,0,1
2045,0.886,1,0,1
