"year","mean","median","lcl","ucl"
2015,0.995,1,1,1
2016,0.993,1,1,1
2017,0.994,1,1,1
2018,0.986,1,1,1
2019,0.991,1,1,1
2020,0.984,1,1,1
2021,0.979,1,1,1
2022,0.986,1,1,1
2023,0.964,1,1,1
2024,0.961000000000001,1,1,1
2025,0.967,1,1,1
2026,0.955000000000001,1,1,1
2027,0.961000000000001,1,1,1
2028,0.956,1,1,1
2029,0.943999999999999,1,0,1
2030,0.940000000000001,1,0,1
2031,0.934000000000001,1,0,1
2032,0.925000000000001,1,0,1
2033,0.931000000000001,1,0,1
2034,0.916999999999999,1,0,1
2035,0.922999999999999,1,0,1
2036,0.913999999999999,1,0,1
2037,0.910999999999999,1,0,1
2038,0.907999999999999,1,0,1
2039,0.898,1,0,1
2040,0.899999999999999,1,0,1
2041,0.880000000000001,1,0,1
2042,0.89,1,0,1
2043,0.875,1,0,1
2044,0.880000000000001,1,0,1
2045,0.883000000000001,1,0,1
