"year","mean","median","lcl","ucl"
2015,55126.753,55180.5,51721,58459
2016,55259.849,55773,48242,57983
2017,56188.833,57072.5,48793,58752
2018,56691.886,57764,49810,59340
2019,56683.887,57856,49728,59588
2020,56600.537,57746,50155,59750
2021,56471.546,57583.5,49426,59804
2022,56322.706,57401.5,49159,59851
2023,56138.239,57177,48882,59856
2024,56042.415,56977.5,49005,59967
2025,56145.237,56994,49264,60019
2026,56290.566,57087,48848,60038
2027,56295.08,57117.5,49449,60064
2028,56303.715,57003.5,49508,60008
2029,56136.284,56724,50040,59888
2030,56030.992,56613.5,49314,59801
2031,55693.22,56396.5,48816,59714
2032,55574.532,56240.5,48364,59556
2033,55522.806,56250.5,48177,59494
2034,55409.425,56114.5,48884,59311
2035,55186.473,55916.5,48359,59215
2036,54983.233,55653.5,48042,59024
2037,54777.885,55417.5,47722,58859
2038,54684.688,55332,47639,58648
2039,54499.287,55132.5,47876,58387
2040,54338.246,54950,47664,58150
2041,54068.016,54705.5,47161,57978
2042,53845.412,54461,46973,57828
2043,53746.617,54342,46849,57610
2044,53642.321,54177.5,47533,57429
2045,53460.358,54059.5,46818,57285
