"year","mean","median","lcl","ucl"
2015,5808.121,5863,5112,6103
2016,5533.414,5630,4730,5786
2017,5316.083,5447,4507,5581
2018,5106.921,5265,4320,5406
2019,4920.593,5091,4160,5247
2020,4748.103,4908,3938,5098
2021,4585.584,4737,3739,4954
2022,4424.88,4571,3642,4812
2023,4277.936,4403,3563,4671
2024,4149.637,4259.5,3454,4534
2025,4029.028,4123.5,3326,4395
2026,4039.083,4135.5,3396,4408
2027,4047.368,4144.5,3365,4416
2028,4039.271,4132.5,3414,4410
2029,4037.45,4128,3386,4406
2030,4014.136,4108,3341,4402
2031,4007.409,4100.5,3292,4398
2032,4007.851,4106,3278,4397
2033,4001.577,4102,3348,4390
2034,3986.113,4067.5,3332,4383
2035,3971.502,4053.5,3270,4373
2036,3954.21399999999,4034,3257,4364
2037,3943.081,4027.5,3261,4344
2038,3924.924,4006.5,3289,4326
2039,3908.538,3978.5,3275,4305
2040,3881.592,3958.5,3205,4283
2041,3857.919,3932,3180,4259
2042,3844.543,3918,3209,4239
2043,3830.493,3899,3230,4214
2044,3811.467,3886,3174,4192
2045,3786.772,3860,3129,4172
