"year","mean","median","lcl","ucl"
2015,0.195559838768961,0.194736842105263,0.176470588235294,0.216867469879518
2016,0.192708170093516,0.19047619047619,0.164285714285714,0.227272727272727
2017,0.191141725328547,0.189121957778674,0.160839160839161,0.227272727272727
2018,0.190373177106295,0.18844373624706,0.158878504672897,0.229166666666667
2019,0.192961997326589,0.189873417721519,0.16,0.235
2020,0.193513984001883,0.190127456755744,0.16030534351145,0.238461538461538
2021,0.195333441164748,0.192684441896024,0.16,0.23728813559322
2022,0.196117921700442,0.194029850746269,0.161616161616162,0.238095238095238
2023,0.198886819502314,0.198355583952652,0.161016949152542,0.238367346938776
2024,0.200505456545755,0.200625006103575,0.16,0.242774566473988
2025,0.201810114208915,0.202450235455245,0.161971830985915,0.241935483870968
2026,0.204959774224,0.20559119476375,0.164,0.246153846153846
2027,0.205624069731502,0.206093975655044,0.163265306122449,0.244755244755245
2028,0.204500513450484,0.206896551724138,0.161490683229814,0.246478873239437
2029,0.204543282837597,0.206435472739821,0.161417322834646,0.243243243243243
2030,0.205555815498029,0.20736224028907,0.163398692810458,0.246478873239437
2031,0.204952844052995,0.206827330508475,0.163066202090592,0.24375
2032,0.205671670320953,0.20665774043123,0.166666666666667,0.243697478991597
2033,0.206205141274609,0.207612456747405,0.166666666666667,0.244186046511628
2034,0.206789253059264,0.208955223880597,0.163636363636364,0.247747747747748
2035,0.204314374837004,0.206349206349206,0.164444444444444,0.242677824267782
2036,0.204433592612262,0.206313616627518,0.163265306122449,0.243386243386243
2037,0.20531050319763,0.206741785815737,0.165217391304348,0.243478260869565
2038,0.204761173717175,0.20648667601683,0.166329966329966,0.241379310344828
2039,0.205316550176112,0.206385869565217,0.165354330708661,0.245283018867925
2040,0.20621001115062,0.207555055920673,0.166666666666667,0.24390243902439
2041,0.205413089369539,0.207045355835453,0.165137614678899,0.243055555555556
2042,0.205117215725597,0.205882352941176,0.166666666666667,0.242798353909465
2043,0.206794801632115,0.208201041094119,0.168181818181818,0.246445497630332
2044,0.206354431470956,0.207317073170732,0.166666666666667,0.244186046511628
2045,0.204502612656147,0.206313616627518,0.164609053497942,0.242957746478873
