"year","mean","median","lcl","ucl"
2015,134.782000000001,135,56,211
2016,136.967999999999,136,55,216
2017,142.327999999999,141.5,53,229
2018,149.676,148,56,243
2019,156.351000000001,154,58,256
2020,162.614999999999,160.5,57,267
2021,169.104000000001,165.5,59,286
2022,175.234,171,58,299
2023,180.139000000001,173,61,306
2024,182.327999999999,179,60,306
2025,183.793999999999,182,61,305
2026,185.451999999999,186,59,303
2027,185.845999999999,187.5,59,298
2028,186.641,191,59,294
2029,188.740999999999,193,63,293
2030,189.800000000001,194,63,293
2031,190.924,197,64,295
2032,191.572,197.5,63,296
2033,192.216,200,63,295
2034,192.36,200,66,293
2035,192.763000000001,203,63,294
2036,193.485,203,60,294
2037,193.529000000001,201,62,294
2038,193.638000000001,203,64,294
2039,193.892,202.5,64,294
2040,194.445,200,65,298
2041,194.421000000001,203,64,294
2042,194.487999999999,203,65,294
2043,194.293999999999,204,67,290
2044,194.441000000001,202.5,66,293
2045,193.487999999999,200.5,64,293
