"year","mean","median","lcl","ucl"
2015,81.3409999999997,81,34,128
2016,83.6330000000002,83,35,133
2017,87.2509999999998,87,33,140
2018,92.5479999999996,92,34,151
2019,97.3239999999997,97,35,160
2020,101.705,100,36,169
2021,106.072,104,37,178
2022,110.539999999999,108,37,189
2023,114.072,110,38,195
2024,115.078,112.5,37,196
2025,115.992000000001,114,38,194
2026,116.763,117,36,193
2027,117.900999999999,119,37,192
2028,117.625,119.5,37,187
2029,118.985,121,39,186
2030,120.099000000001,123,39,186
2031,120.646999999999,124,40,187
2032,121.359,125.5,40,188
2033,121.747,126,40,188
2034,122.001,126,40,185
2035,122.155,129,40,187
2036,122.762,129,40,186
2037,122.928,128,39,188
2038,122.814,129,40,189
2039,123.059,128,41,187
2040,123.515,129,39,188
2041,123.658,129,42,188
2042,123.485999999999,128,41,185
2043,123.422,129,42,184
2044,123.623,129,43,186
2045,123.479,128,43,189
