"year","mean","median","lcl","ucl"
2015,0.997,1,1,1
2016,0.994,1,1,1
2017,0.994,1,1,1
2018,0.993,1,1,1
2019,0.995,1,1,1
2020,0.989,1,1,1
2021,0.988,1,1,1
2022,0.985,1,1,1
2023,0.984,1,1,1
2024,0.986,1,1,1
2025,0.98,1,1,1
2026,0.972,1,1,1
2027,0.968,1,1,1
2028,0.959999999999999,1,1,1
2029,0.954,1,1,1
2030,0.959999999999999,1,1,1
2031,0.942,1,0,1
2032,0.943999999999999,1,0,1
2033,0.943999999999999,1,0,1
2034,0.948,1,0,1
2035,0.943,1,0,1
2036,0.946,1,0,1
2037,0.939,1,0,1
2038,0.931000000000001,1,0,1
2039,0.934999999999999,1,0,1
2040,0.933,1,0,1
2041,0.916000000000002,1,0,1
2042,0.921,1,0,1
2043,0.910000000000002,1,0,1
2044,0.918,1,0,1
2045,0.911999999999999,1,0,1
