"year","mean","median","lcl","ucl"
2015,55043.542,54999.5,51726,58527
2016,55245.475,55807,47999,57932
2017,55718.918,56792,48019,58486
2018,56108.024,57238,49058,58979
2019,56124.195,57115,49311,59044
2020,55713.592,56725,48911,58771
2021,55193.006,56186.5,48397,58516
2022,54661.566,55741,47419,58241
2023,54316.788,55262,46936,57954
2024,53877.646,54820,46689,57738
2025,53605.842,54457.5,46686,57495
2026,53177.797,54055,45983,57193
2027,52764.169,53536.5,45703,56859
2028,52316.904,53124,44865,56564
2029,52085.128,52898,44251,56198
2030,51890.123,52635.5,44437,56052
2031,51520.3260000001,52211.5,44354,55836
2032,51198.985,51785,44253,55764
2033,50937.5050000001,51518,43716,55575
2034,50799.029,51409,43251,55441
2035,50516.962,51111,43194,55153
2036,50271.45,50921,42992,55079
2037,50074.188,50614,42840,54871
2038,49859.896,50432,42099,54697
2039,49675.673,50233.5,42275,54504
2040,49429.188,49924,41822,54429
2041,49230.3800000001,49626.5,41995,54209
2042,49005.6809999999,49454,41977,54029
2043,48897.784,49343.5,41615,53881
2044,48607.063,49159,41374,53645
2045,48288.28,48941.5,40347,53428
