"year","mean","median","lcl","ucl"
2015,5797.825,5853.5,5035,6103
2016,5643.706,5757.5,4791,5928
2017,5537.983,5690,4714,5847
2018,5428.69,5612,4609,5786
2019,5335.728,5521.5,4458,5728
2020,5247.211,5432.5,4277,5680
2021,5180.064,5348,4231,5631
2022,5098.806,5252,4188,5585
2023,5016.674,5156.5,4132,5537
2024,4943.82499999999,5072.5,3978,5500
2025,4880.277,4979.5,3960,5456
2026,4809.904,4904,3860,5426
2027,4747.684,4850,3800,5390
2028,4692.128,4784.5,3657,5367
2029,4655.01,4738,3639,5333
2030,4609.329,4693,3597,5301
2031,4560.06399999999,4637,3585,5273
2032,4503.106,4584,3525,5253
2033,4473.628,4540,3471,5223
2034,4435.11200000001,4485.5,3445,5191
2035,4411.859,4460.5,3439,5171
2036,4384.85199999999,4419,3393,5139
2037,4348.158,4389,3355,5119
2038,4320.63100000001,4368.5,3344,5084
2039,4301.49800000001,4354,3336,5064
2040,4264.55000000001,4318.5,3294,5029
2041,4239.758,4282.5,3339,5006
2042,4204.584,4239,3332,4967
2043,4172.86200000001,4203,3253,4942
2044,4140.47,4178,3189,4900
2045,4118.65,4168.5,3182,4859
