"year","mean","median","lcl","ucl"
2015,135.333,135,55,211
2016,138.056,137,54,215
2017,143.488,142.5,58,227
2018,150.663,149,60,241
2019,157.467999999999,155,63,259
2020,164.307999999999,160,63,275
2021,170.048000000001,166,63,286
2022,175.831000000001,171,66,299
2023,181.02,177,68,305
2024,185.438000000001,180,68,308
2025,189.052,187,69,306
2026,192.195,190,71,311
2027,194.675000000001,193,68,310
2028,196.168999999999,198.5,69,306
2029,197.495000000001,201.5,69,306
2030,198.851000000001,205,71,304
2031,199.702999999999,208.5,74,301
2032,200.265,210,72,297
2033,201.147999999999,208.5,73,297
2034,201.173000000001,211,74,293
2035,200.504999999999,215,74,293
2036,199.997000000001,212,71,292
2037,200.097999999999,214,73,292
2038,200.266,215.5,73,293
2039,200.235999999999,213,72,294
2040,200.229000000001,214.5,72,290
2041,200.013,215.5,74,288
2042,200.074999999999,214,74,289
2043,199.495000000001,216,73,287
2044,199.293999999999,214,72,286
2045,198.528000000001,211,72,285
