"year","mean","median","lcl","ucl"
2015,80.6050000000004,80,37,126
2016,83.0140000000004,83,37,132
2017,87.2200000000004,88,37,139
2018,92.5909999999997,92.5,41,150
2019,97.4149999999994,96,42,158
2020,101.411,100,42,168
2021,105.102,102.5,40,175
2022,108.267,106,41,186
2023,112.1,111,43,188
2024,114.855,113,43,193
2025,116.864999999999,115.5,44,192
2026,119.115999999999,119,43,196
2027,120.946,120,43,194
2028,122.489,123,44,193
2029,123.797,124.5,41,195
2030,124.503999999999,126,45,193
2031,124.829999999999,128,45,192
2032,124.896999999999,128,46,194
2033,124.98,129,46,190
2034,125.859,130.5,47,189
2035,126.104,131,46,187
2036,125.696,131,45,187
2037,125.738,132,45,187
2038,126.375,133,47,188
2039,126.158,133,46,186
2040,126.074999999999,134,46,185
2041,125.546,132.5,48,184
2042,125.341,133,47,184
2043,125.271,133,45,182
2044,125.547,134,46,183
2045,125.61,134,48,183
