"year","mean","median","lcl","ucl"
2015,5802.672,5862.5,5071,6083
2016,5657.355,5758,4816,5923
2017,5508.871,5636.5,4687,5814
2018,5345.894,5493,4503,5734
2019,5191.604,5341,4297,5651
2020,5054.174,5183,4163,5588
2021,4876.73299999999,5001,3914,5500
2022,4692.096,4791.5,3609,5429
2023,4503.52300000001,4594,3391,5348
2024,4296.747,4397.5,3168,5200
2025,4086.627,4182.5,2933,5087
2026,3902.384,3979.5,2728,4953
2027,3726.038,3812.5,2488,4769
2028,3562.58599999999,3629,2343,4616
2029,3410.171,3470.5,2224,4451
2030,3264.957,3321,2095,4247
2031,3141.813,3180.5,2030,4091
2032,3029.741,3074,1898,3936
2033,2936.627,2989,1808,3828
2034,2849.48,2905.5,1669,3753
2035,2770.228,2830.5,1566,3702
2036,2690.533,2738,1501,3646
2037,2623.542,2663.5,1442,3592
2038,2551.42299999999,2588,1414,3524
2039,2493.927,2519,1398,3487
2040,2440.647,2445,1372,3433
2041,2381.656,2388,1292,3396
2042,2329.43399999999,2334.5,1232,3354
2043,2279.77,2282,1196,3311
2044,2232.877,2230.5,1152,3271
2045,2190.46800000001,2195.5,1146,3222
