"year","mean","median","lcl","ucl"
2015,55103.603,55129,51641,58521
2016,55206.064,55825.5,47620,57951
2017,56081.611,57157.5,48458,58797
2018,56660.994,57885,49816,59281
2019,56910.612,58023.5,50550,59435
2020,56828.694,57906.5,50601,59420
2021,56668.851,57746.5,50415,59301
2022,56509.147,57574,50248,59122
2023,56273.99,57276.5,50132,58978
2024,56027.287,57026.5,50078,58779
2025,55860.681,56806,49306,58627
2026,55671.328,56663.5,49404,58508
2027,55466.063,56476,48999,58326
2028,55337.894,56284,49052,58140
2029,55139.955,56074,49271,57971
2030,55011.233,55898,49281,57810
2031,54844.318,55689,49020,57663
2032,54726.273,55546.5,48774,57509
2033,54590.901,55400,48480,57372
2034,54378.107,55246,48109,57236
2035,54141.34,55093.5,47740,57063
2036,53894.38,54860.5,47830,56916
2037,53807.59,54691,47711,56713
2038,53675.649,54509,47833,56560
2039,53603.039,54398.5,48149,56355
2040,53428.297,54256,47555,56174
2041,53266.146,54068.5,47611,55979
2042,53127.276,53930,47224,55799
2043,52972.085,53755,47131,55602
2044,52676.362,53570,46598,55403
2045,52495.104,53394.5,46609,55238
