"year","mean","median","lcl","ucl"
2015,0.315362650457741,0.313293172690763,0.263157894736842,0.37037037037037
2016,0.30338896137387,0.300848981941147,0.242424242424242,0.375
2017,0.301834054855614,0.298106784519828,0.238888888888889,0.371134020618557
2018,0.297586867872445,0.292810227539292,0.227941176470588,0.378378378378378
2019,0.28999451088599,0.286793372319688,0.21875,0.366666666666667
2020,0.281592619003174,0.278370941111723,0.213483146067416,0.366666666666667
2021,0.274184868579571,0.271739130434783,0.206349206349206,0.360655737704918
2022,0.269683483393676,0.265798218424506,0.198019801980198,0.355140186915888
2023,0.265117959576982,0.259677822177822,0.19811320754717,0.352272727272727
2024,0.260308743720089,0.255210594876248,0.192771084337349,0.345454545454545
2025,0.254715648123063,0.249338624338624,0.189189189189189,0.333333333333333
2026,0.250505904486279,0.245283018867925,0.185185185185185,0.328358208955224
2027,0.247983449182187,0.243074739103745,0.181818181818182,0.333333333333333
2028,0.244279047091564,0.24,0.175182481751825,0.333333333333333
2029,0.241678933809921,0.23672462406015,0.166666666666667,0.318181818181818
2030,0.24101099998346,0.235294117647059,0.166666666666667,0.333333333333333
2031,0.238654355178633,0.232476252866033,0.166666666666667,0.32
2032,0.234578635688267,0.227149877149877,0.164179104477612,0.314285714285714
2033,0.230399156674138,0.224137931034483,0.16,0.314285714285714
2034,0.227603797752123,0.223415191319246,0.162162162162162,0.311475409836066
2035,0.225625487292592,0.22085472666868,0.161290322580645,0.303030303030303
2036,0.227649989045788,0.222222222222222,0.162162162162162,0.305555555555556
2037,0.223964618523607,0.220779220779221,0.159090909090909,0.294117647058824
2038,0.22121415822093,0.218418703269724,0.152173913043478,0.297619047619048
2039,0.221028108377,0.217933447480086,0.145454545454545,0.3
2040,0.216718921394674,0.217391304347826,0.149425287356322,0.288888888888889
2041,0.21741635999041,0.216271373414231,0.142857142857143,0.288135593220339
2042,0.218620026517806,0.213873295910184,0.146666666666667,0.292682926829268
2043,0.214026557467106,0.214285714285714,0.142857142857143,0.291666666666667
2044,0.212588287532025,0.211538461538462,0.14,0.290909090909091
2045,0.212603326087241,0.2125,0.145161290322581,0.288461538461538
