"year","mean","median","lcl","ucl"
2015,80.2920000000002,81,34,124
2016,66.8419999999999,67,27,107
2017,65.6279999999998,65,25,109
2018,65.4600000000004,65.5,25,109
2019,64.8339999999997,64,25,109
2020,64.1230000000003,63,24,111
2021,63.1030000000004,62,22,109
2022,62.4170000000002,60,21,111
2023,62.0299999999997,61,21,112
2024,61.0389999999997,60,19,109
2025,60.2269999999996,59,18,108
2026,59.6930000000003,58,17,110
2027,59.4209999999998,57,16,109
2028,59.0250000000003,57,15,107
2029,58.598,57,13,107
2030,58.2439999999997,57,15,107
2031,57.9319999999997,56.5,14,106
2032,57.6199999999996,56,14,106
2033,57.393,57,13,107
2034,57.2609999999997,56,12,106
2035,57.2899999999995,58,11,106
2036,57.1539999999996,57,10,106
2037,57.0410000000004,57,11,105
2038,56.6739999999995,56,10,105
2039,56.643,56,9,105
2040,56.7840000000003,56,8,106
2041,57.0459999999998,57,9,106
2042,56.9340000000004,57,8,107
2043,56.9939999999997,58.5,8,107
2044,57.3710000000005,57,7,108
2045,57.3329999999997,56.5,8,107
