"year","mean","median","lcl","ucl"
2015,0.674,1,0,1
2016,0.176,0,0,1
2017,0.408,0,0,1
2018,0.376,0,0,1
2019,0.296,0,0,1
2020,0.224,0,0,1
2021,0.21,0,0,1
2022,0.178,0,0,1
2023,0.14,0,0,1
2024,0.112,0,0,1
2025,0.104,0,0,1
2026,0.068,0,0,1
2027,0.078,0,0,1
2028,0.062,0,0,1
2029,0.07,0,0,1
2030,0.04,0,0,0
2031,0.044,0,0,0
2032,0.04,0,0,0
2033,0.052,0,0,1
2034,0.038,0,0,0
2035,0.042,0,0,0
2036,0.036,0,0,0
2037,0.026,0,0,0
2038,0.044,0,0,0
2039,0.036,0,0,0
2040,0.034,0,0,0
2041,0.026,0,0,0
2042,0.02,0,0,0
2043,0.03,0,0,0
2044,0.018,0,0,0
2045,0.024,0,0,0
