"year","mean","median","lcl","ucl"
2015,0.660000000000003,1,0,1
2016,0.21,0,0,1
2017,0.400999999999996,0,0,1
2018,0.404000000000002,0,0,1
2019,0.327999999999998,0,0,1
2020,0.266000000000002,0,0,1
2021,0.233999999999999,0,0,1
2022,0.198000000000001,0,0,1
2023,0.176,0,0,1
2024,0.155999999999997,0,0,1
2025,0.134,0,0,1
2026,0.127000000000001,0,0,1
2027,0.116,0,0,1
2028,0.116,0,0,1
2029,0.107000000000001,0,0,1
2030,0.092000000000001,0,0,1
2031,0.0710000000000007,0,0,1
2032,0.0760000000000002,0,0,1
2033,0.0650000000000008,0,0,1
2034,0.0590000000000008,0,0,1
2035,0.0539999999999997,0,0,1
2036,0.0490000000000004,0,0,0
2037,0.0560000000000009,0,0,1
2038,0.0400000000000007,0,0,0
2039,0.0520000000000004,0,0,1
2040,0.0580000000000002,0,0,1
2041,0.0509999999999998,0,0,1
2042,0.0370000000000004,0,0,0
2043,0.0470000000000005,0,0,0
2044,0.0440000000000005,0,0,0
2045,0.0490000000000004,0,0,0
