"year","mean","median","lcl","ucl"
2015,132.465,131,54,210
2016,119.807999999999,119,49,192
2017,117.106,116,47,187
2018,115.982,115,45,190
2019,114.434,113,45,190
2020,112.315,111,41,188
2021,110.499,109,39,187
2022,108.221,106,40,187
2023,106.467999999999,103,36,185
2024,104.416,101,36,181
2025,103.32,100,36,182
2026,101.012,97,33,179
2027,99.9909999999994,97.5,31,178
2028,99.1960000000001,95,31,176
2029,98.2770000000006,95,29,177
2030,97.4210000000004,94,27,176
2031,96.4960000000006,93,28,175
2032,95.9790000000005,93,25,175
2033,95.4479999999997,92,24,174
2034,94.6839999999999,91,22,171
2035,94.2379999999998,90.5,21,171
2036,93.8249999999995,92,22,171
2037,93.6669999999997,92,21,173
2038,93.5059999999997,91.5,19,170
2039,93.2399999999995,93,18,169
2040,93.3000000000005,92,18,168
2041,93.4369999999994,93,18,169
2042,93.1180000000004,93,18,169
2043,93.2420000000006,92,18,170
2044,92.9299999999998,91,17,169
2045,92.9159999999998,92,18,171
