"year","mean","median","lcl","ucl"
2015,0.201483870967742,0.193548387096774,0.0967741935483871,0.32258064516129
2016,0.0792258064516129,0.0645161290322581,0,0.161290322580645
2017,0.0956451612903226,0.0967741935483871,0,0.193548387096774
2018,0.114870967741936,0.129032258064516,0,0.225806451612903
2019,0.0769354838709678,0.0645161290322581,0,0.161290322580645
2020,0.0328064516129032,0.032258064516129,0,0.0967741935483871
2021,0.0124516129032259,0,0,0.032258064516129
2022,0.00435483870967738,0,0,0.032258064516129
2023,0.00138709677419353,0,0,0
2024,0.000806451612903215,0,0,0
2025,0.000741935483870982,0,0,0
2026,0.000516129032258067,0,0,0
2027,0.000258064516129034,0,0,0
2028,0.000451612903225799,0,0,0
2029,0.000387096774193541,0,0,0
2030,0.000354838709677423,0,0,0
2031,0.00032258064516129,0,0,0
2032,0.000516129032258067,0,0,0
2033,0.000419354838709673,0,0,0
2034,0.000387096774193541,0,0,0
2035,0.000516129032258067,0,0,0
2036,0.000612903225806464,0,0,0
2037,0.00019354838709677,0,0,0
2038,0.000419354838709673,0,0,0
2039,0.000451612903225799,0,0,0
2040,0.000451612903225799,0,0,0
2041,0.000258064516129034,0,0,0
2042,0.000354838709677423,0,0,0
2043,0.000387096774193541,0,0,0
2044,0.000451612903225799,0,0,0
2045,0.000354838709677423,0,0,0
