"year","mean","median","lcl","ucl"
2015,0.553483870967742,0.548387096774194,0.32258064516129,0.806451612903226
2016,0.247774193548387,0.258064516129032,0.129032258064516,0.387096774193548
2017,0.195258064516129,0.193548387096774,0.0645161290322581,0.354838709677419
2018,0.0639677419354833,0,0,0.258064516129032
2019,0.0153225806451611,0,0,0.129032258064516
2020,0.00354838709677422,0,0,0
2021,0.00158064516129033,0,0,0
2022,0.00425806451612907,0,0,0.032258064516129
2023,0.00841935483870981,0,0,0.032258064516129
2024,0.0140645161290323,0,0,0.0645161290322581
2025,0.0171290322580645,0,0,0.0645161290322581
2026,0.0236129032258065,0.032258064516129,0,0.0645161290322581
2027,0.0271935483870969,0.032258064516129,0,0.0967741935483871
2028,0.0322903225806452,0.032258064516129,0,0.0967741935483871
2029,0.0337741935483869,0.032258064516129,0,0.0967741935483871
2030,0.0326774193548387,0.032258064516129,0,0.0967741935483871
2031,0.0323870967741939,0.032258064516129,0,0.0967741935483871
2032,0.0352580645161291,0.032258064516129,0,0.0967741935483871
2033,0.0343225806451616,0.032258064516129,0,0.0967741935483871
2034,0.0329032258064514,0.032258064516129,0,0.0967741935483871
2035,0.0318387096774192,0.032258064516129,0,0.0967741935483871
2036,0.0351290322580646,0.032258064516129,0,0.0967741935483871
2037,0.0333225806451613,0.032258064516129,0,0.0967741935483871
2038,0.035516129032258,0.032258064516129,0,0.0967741935483871
2039,0.0348387096774192,0.032258064516129,0,0.0967741935483871
2040,0.0371935483870967,0.032258064516129,0,0.0967741935483871
2041,0.0363225806451613,0.032258064516129,0,0.0967741935483871
2042,0.0373225806451615,0.032258064516129,0,0.0967741935483871
2043,0.0387419354838711,0.032258064516129,0,0.0967741935483871
2044,0.0378709677419355,0.032258064516129,0,0.0967741935483871
2045,0.0390967741935485,0.032258064516129,0,0.0967741935483871
