"year","mean","median","lcl","ucl"
2015,5795.247,5857,5081,6102
2016,5628.394,5744.5,4746,5924
2017,5443.901,5589,4603,5781
2018,5226.236,5388.5,4338,5658
2019,4951.508,5102,4033,5485
2020,4607.95799999999,4765,3590,5275
2021,4242.981,4407.5,3144,5008
2022,3878.252,4042,2634,4712
2023,3533.552,3675.5,2256,4410
2024,3204.38100000001,3325.5,1935,4136
2025,2914.514,2997,1619,3862
2026,2652.69299999999,2718,1434,3655
2027,2434.516,2484.5,1263,3482
2028,2245.97699999999,2268.5,1171,3325
2029,2101.625,2113,1080,3181
2030,1977.71000000001,1960,1022,3097
2031,1876.50900000001,1805,982,3018
2032,1796.70299999999,1724,960,2924
2033,1721.248,1627.5,923,2833
2034,1654.25900000001,1560,896,2737
2035,1595.47999999999,1507,881,2623
2036,1546.002,1442,876,2562
2037,1503.60199999999,1391.5,864,2503
2038,1459.845,1346.5,834,2432
2039,1426.851,1311,813,2346
2040,1392.617,1263.5,816,2291
2041,1359.49,1236.5,814,2230
2042,1326.529,1204,799,2216
2043,1299.787,1185.5,783,2165
2044,1273.244,1165.5,790,2101
2045,1248.97,1137,771,2041
