"year","mean","median","lcl","ucl"
2015,-0.15472057226409,-0.126865671641791,-0.298245614035088,-0.0794392523364486
2016,-0.096765304866487,-0.085427135678392,-0.175257731958763,-0.0555555555555556
2017,-0.060169664503627,-0.0568561872909699,-0.0918918918918919,-0.0400943396226415
2018,-0.041968453915558,-0.0397196261682243,-0.0602836879432624,-0.0311355311355311
2019,-0.0329700906985151,-0.0321057887791133,-0.0422885572139304,-0.026813880126183
2020,-0.0283478093397357,-0.0279605263157895,-0.0336633663366337,-0.024390243902439
2021,-0.0258378672135115,-0.0256797583081571,-0.0294627383015598,-0.0224867724867725
2022,-0.0246961477857321,-0.0245310245310245,-0.0282392026578073,-0.0215462610899873
2023,-0.0243217393722413,-0.0242165242165242,-0.0281923714759536,-0.0209876543209877
2024,-0.0246340742825464,-0.0244252873563218,-0.0285714285714286,-0.0211706102117061
2025,-0.0254261991248034,-0.0253353204172876,-0.0297723292469352,-0.021437578814628
2026,-0.026525326136359,-0.0262143563697236,-0.032015065913371,-0.0222513089005236
2027,-0.0275069057114941,-0.0271132376395534,-0.0335305719921105,-0.0227272727272727
2028,-0.0288113036749811,-0.0282626961708338,-0.0355648535564854,-0.0239099859353024
2029,-0.0299952018069179,-0.0293609671848014,-0.0376940133037694,-0.0244604316546763
2030,-0.0312363085636323,-0.0304659498207885,-0.0393518518518519,-0.0253353204172876
2031,-0.032512763033831,-0.0317757009345794,-0.0410628019323672,-0.0261941448382126
2032,-0.0335463170991243,-0.0326923076923077,-0.0429292929292929,-0.0271565495207668
2033,-0.0346642630772642,-0.0337972166998012,-0.0439276485788114,-0.0280528052805281
2034,-0.0356508638343403,-0.0350877566669507,-0.044973544973545,-0.0284757118927973
2035,-0.036405039660138,-0.0356021332771945,-0.046195652173913,-0.0294117647058824
2036,-0.0373548694104293,-0.0366379310344828,-0.0470914127423823,-0.0299295774647887
2037,-0.0380814613374755,-0.0375691066440055,-0.047752808988764,-0.0304659498207885
2038,-0.0389220050094788,-0.0384181281472478,-0.0484330484330484,-0.0311926605504587
2039,-0.0395468386020242,-0.0388127853881279,-0.0497076023391813,-0.0318352059925094
2040,-0.0402020129285791,-0.0397196261682243,-0.0494186046511628,-0.0321969696969697
2041,-0.0406089821006857,-0.0403800475059382,-0.0501474926253687,-0.0321361058601134
2042,-0.0410980765066091,-0.0405727923627685,-0.0504451038575668,-0.0330739299610895
2043,-0.041621754778024,-0.0408653846153846,-0.0512048192771084,-0.0337972166998012
2044,-0.0421182074064858,-0.0417178542178542,-0.051051051051051,-0.0342741935483871
2045,-0.0425326631340406,-0.0421836228287841,-0.051051051051051,-0.0346232179226069
