"year","mean","median","lcl","ucl"
2015,81.4489999999998,83,34,126
2016,141.349,143,69,208
2017,193.724000000001,192,105,287
2018,284.012000000001,287,177,379
2019,370.998,377,255,461
2020,440.731,442,348,520
2021,489.934,490.5,415,563
2022,518.925,518,448,593
2023,525.973000000001,525,448,611
2024,523.639000000001,522,438,616
2025,509.971999999999,509,421,610
2026,493.833000000001,491,400,601
2027,476.086000000001,473,379,586
2028,453.038999999999,451,354,560
2029,435.747,435,336,539
2030,416.959,417.5,319,522
2031,399.113999999999,399,301,499
2032,385.041999999999,387.5,290,478
2033,373.269,375,276,459
2034,364.577999999999,362.5,276,455
2035,354.533,354,271,441
2036,345.762,344,263,428
2037,338.792,338,259,422
2038,333.614,332,259,417
2039,327.02,324.5,255,406
2040,322.413,320,253,397
2041,319.43,317,251,396
2042,316.412,312,249,396
2043,311.223,307,250,390
2044,307.901,305,248,381
2045,305.346,303,245,375
