"year","mean","median","lcl","ucl"
2015,55036.074,55012,51709,58482
2016,56413.137,56949.5,49351,58890
2017,57832.553,58819.5,50733,59953
2018,58594.44,59845,52312,60457
2019,58761.514,60180.5,53036,60547
2020,58905.416,60180.5,53533,60439
2021,58764.148,60051.5,53480,60254
2022,58701.348,59883,53382,60062
2023,58472.378,59685,53348,59872
2024,58207.939,59417,53024,59678
2025,57978.686,59127,53054,59485
2026,57842.392,58911,52867,59303
2027,57634.605,58630.5,52768,59127
2028,57466.625,58473,52336,58954
2029,57226.612,58271,51777,58786
2030,56989.57,58056,51965,58620
2031,56881.456,57912,51548,58456
2032,56746.436,57703,51857,58296
2033,56608.156,57562,51428,58138
2034,56430.099,57381.5,51410,57978
2035,56271.867,57168.5,51258,57830
2036,56030.696,56975,51125,57666
2037,55817.863,56768,50874,57523
2038,55670.495,56629.5,50458,57346
2039,55597.214,56457,50834,57176
2040,55470.793,56249,50583,56996
2041,55274.435,56099.5,50407,56809
2042,55102.04,55928.5,50229,56623
2043,54947.724,55731,50078,56438
2044,54752.432,55541,50039,56255
2045,54591.391,55355,49857,56062
