"year","mean","median","lcl","ucl"
2015,5792.82,5860.5,5049,6092
2016,5708.643,5832.5,4876,5982
2017,5670.475,5820,4887,5921
2018,5606.972,5788,4840,5863
2019,5556.967,5746,4829,5805
2020,5503.491,5700,4776,5752
2021,5448.752,5648.5,4675,5700
2022,5398.247,5595.5,4667,5653
2023,5345.605,5527.5,4647,5607
2024,5302.209,5457,4594,5564
2025,5253.274,5401.5,4476,5520
2026,5208.042,5362,4502,5498
2027,5189.929,5329,4512,5477
2028,5164.619,5302.5,4442,5457
2029,5142.318,5278.5,4413,5438
2030,5118.709,5242.5,4428,5421
2031,5099.491,5224,4386,5402
2032,5080.213,5202.5,4355,5385
2033,5052.552,5175.5,4307,5369
2034,5044.405,5149,4346,5353
2035,5020.635,5133,4325,5336
2036,4989.468,5101,4306,5316
2037,4947.955,5065,4236,5293
2038,4927.227,5024.5,4296,5266
2039,4895.857,4996,4187,5238
2040,4869.344,4962.5,4193,5210
2041,4849.421,4940,4196,5180
2042,4819.664,4918,4169,5153
2043,4786.592,4885.5,4129,5122
2044,4766.16,4861,4117,5095
2045,4736.138,4830.5,4133,5063
