"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0.002,-0.000774634605563186,0.00477463460556319,0,0,0,0.000129032258064516,0,0
6,0.004,7.21364013246085e-05,0.00792786359867539,0,0,0,0.000741935483870968,0,0
7,0.007,0.00179608173032065,0.0122039182696793,0,0,0,0.000870967741935484,0,0
8,0.007,0.00179608173032065,0.0122039182696793,0,0,0,0.0012258064516129,0,0
9,0.008,0.00243397402437876,0.0135660259756212,0,0,0,0.00145161290322581,0,0
10,0.008,0.00243397402437876,0.0135660259756212,0,0,0,0.00167741935483871,0,0
11,0.008,0.00243397402437876,0.0135660259756212,0,0,0,0.00174193548387097,0,0
12,0.01,0.00377071108359546,0.0162292889164045,0,0,0,0.00203225806451613,0,0
13,0.012,0.00516925265349824,0.0188307473465018,0,0,0,0.00216129032258065,0,0
14,0.013,0.00588673200559098,0.020113267994409,0,0,0,0.00229032258064516,0,0
15,0.013,0.00588673200559098,0.020113267994409,0,0,0,0.00235483870967742,0,0
16,0.013,0.00588673200559098,0.020113267994409,0,0,0,0.00254838709677419,0,0
17,0.014,0.00661447059279117,0.0213855294072088,0,0,0,0.00264516129032258,0,0
18,0.016,0.00809651718225398,0.023903482817746,0,0,0,0.00274193548387097,0,0
19,0.017,0.00884913362985709,0.0251508663701429,0,0,0,0.00290322580645161,0,0
20,0.018,0.00960855833131026,0.0263914416686897,0,0,0,0.00309677419354839,0,0
21,0.019,0.0103742201818057,0.0276257798181943,0,0,0,0.00325806451612903,0,0
22,0.02,0.0111456225515285,0.0288543774484715,0,0,0,0.00338709677419355,0,0
23,0.02,0.0111456225515285,0.0288543774484715,0,0,0,0.00358064516129032,0,0
24,0.02,0.0111456225515285,0.0288543774484715,0,0,0,0.00367741935483871,0,0
25,0.02,0.0111456225515285,0.0288543774484715,0,0,0,0.00383870967741935,0,0
26,0.022,0.0127039599872741,0.0312960400127259,0,0,0,0.00403225806451613,0,0
27,0.025,0.0150751542025801,0.0349248457974199,0,0,0,0.00419354838709677,0,0.000806451612902492
28,0.03,0.019099891232927,0.040900108767073,0,0,0,0.00448387096774194,0,0.032258064516129
29,0.031,0.0199139960308447,0.0420860039691553,0,0,0,0.00474193548387097,0,0.032258064516129
30,0.034,0.0223719479618081,0.0456280520381919,0,0,0,0.005,0,0.032258064516129
31,0.036,0.0240224275972174,0.0479775724027826,0,0,0,0.00516129032258064,0,0.032258064516129
32,0.039,0.0265139036742136,0.0514860963257864,0,0,0,0.00529032258064516,0,0.032258064516129
33,0.044,0.0307030062855921,0.0572969937144079,0,0,0,0.00554838709677419,0,0.032258064516129
34,0.047,0.0332355599052206,0.0607644400947794,0,0,0,0.00590322580645161,0,0.032258064516129
