"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0.002,-0.000774634605563186,0.00477463460556319,0,0,0,9.67741935483871e-05,0,0
4,0.003,-0.000399923298444528,0.00639992329844453,0,0,0,0.00032258064516129,0,0
5,0.004,7.21364013246085e-05,0.00792786359867539,0,0,0,0.000516129032258065,0,0
6,0.006,0.00118453196518073,0.0108154680348193,0,0,0,0.00103225806451613,0,0
7,0.007,0.00179608173032065,0.0122039182696793,0,0,0,0.0017741935483871,0,0
8,0.009,0.00309336004482749,0.0149066399551725,0,0,0,0.00254838709677419,0,0
9,0.009,0.00309336004482749,0.0149066399551725,0,0,0,0.00312903225806452,0,0
10,0.012,0.00516925265349824,0.0188307473465018,0,0,0,0.00380645161290322,0,0
11,0.013,0.00588673200559098,0.020113267994409,0,0,0,0.00451612903225806,0,0
12,0.013,0.00588673200559098,0.020113267994409,0,0,0,0.005,0,0
13,0.015,0.00735137117892105,0.022648628821079,0,0,0,0.00587096774193548,0,0
14,0.019,0.0103742201818057,0.0276257798181943,0,0,0,0.00674193548387097,0,0
15,0.019,0.0103742201818057,0.0276257798181943,0,0,0,0.00754838709677419,0,0
16,0.021,0.011922330376036,0.030077669623964,0,0,0,0.00854838709677419,0,0
17,0.022,0.0127039599872741,0.0312960400127259,0,0,0,0.0097741935483871,0,0
18,0.024,0.0142806598078629,0.0337193401921371,0,0,0,0.0109677419354839,0,0
19,0.028,0.017480333917581,0.038519666082419,0,0,0,0.0122903225806452,0,0.032258064516129
20,0.029,0.0182886192943188,0.0397113807056812,0,0,0,0.0131935483870968,0,0.032258064516129
21,0.034,0.0223719479618081,0.0456280520381919,0,0,0,0.0145806451612903,0,0.0967741935483871
22,0.035,0.0231960751236275,0.0468039248763725,0,0,0,0.0158709677419355,0,0.0975806451612896
23,0.037,0.0248509088665596,0.0491490911334404,0,0,0,0.0173548387096774,0,0.161290322580645
24,0.04,0.0273482544023891,0.0526517455976109,0,0,0,0.0185161290322581,0,0.162096774193548
25,0.042,0.0290222930828778,0.0549777069171222,0,0,0,0.0199032258064516,0,0.195161290322579
26,0.044,0.0307030062855921,0.0572969937144079,0,0,0,0.0216774193548387,0,0.291935483870966
27,0.047,0.0332355599052206,0.0607644400947794,0,0,0,0.0230645161290323,0,0.324193548387095
28,0.049,0.0349309798092677,0.0630690201907323,0,0,0,0.0245806451612903,0,0.356451612903224
29,0.05,0.0357806654978438,0.0642193345021562,0,0,0,0.0260645161290323,0,0.453225806451611
30,0.055,0.0400472348649093,0.0699527651350907,0,0,0,0.0275161290322581,0,0.455645161290319
31,0.055,0.0400472348649093,0.0699527651350907,0,0,0,0.0290322580645161,0,0.519354838709674
32,0.059,0.0434801590770338,0.0745198409229662,0,0,0,0.0306129032258064,0,0.615322580645159
