"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0.001,-0.000960980735613036,0.00296098073561304,0,0,0,6.45161290322581e-05,0,0
4,0.002,-0.000774634605563186,0.00477463460556319,0,0,0,0.000129032258064516,0,0
5,0.002,-0.000774634605563186,0.00477463460556319,0,0,0,0.00032258064516129,0,0
6,0.003,-0.000399923298444528,0.00639992329844453,0,0,0,0.000548387096774193,0,0
7,0.003,-0.000399923298444528,0.00639992329844453,0,0,0,0.000903225806451613,0,0
8,0.005,0.00060630877131024,0.00939369122868976,0,0,0,0.00109677419354839,0,0
9,0.009,0.00309336004482749,0.0149066399551725,0,0,0,0.00167741935483871,0,0
10,0.011,0.00446336450151606,0.0175366354984839,0,0,0,0.00212903225806452,0,0
11,0.012,0.00516925265349824,0.0188307473465018,0,0,0,0.00274193548387097,0,0
12,0.014,0.00661447059279117,0.0213855294072088,0,0,0,0.00361290322580645,0,0
13,0.014,0.00661447059279117,0.0213855294072088,0,0,0,0.00454838709677419,0,0
14,0.015,0.00735137117892105,0.022648628821079,0,0,0,0.00561290322580645,0,0
15,0.016,0.00809651718225398,0.023903482817746,0,0,0,0.0064516129032258,0,0
16,0.022,0.0127039599872741,0.0312960400127259,0,0,0,0.00790322580645161,0,0
17,0.026,0.015873409066102,0.036126590933898,0,0,0,0.00874193548387097,0,0.032258064516129
18,0.027,0.0166752027211707,0.0373247972788293,0,0,0,0.00967741935483871,0,0.032258064516129
19,0.028,0.017480333917581,0.038519666082419,0,0,0,0.0108064516129032,0,0.032258064516129
20,0.032,0.020730792338309,0.043269207661691,0,0,0,0.0116774193548387,0,0.0645161290322581
21,0.034,0.0223719479618081,0.0456280520381919,0,0,0,0.0127741935483871,0,0.0645161290322581
22,0.036,0.0240224275972174,0.0479775724027826,0,0,0,0.0140967741935484,0,0.0967741935483871
23,0.038,0.0256814289242951,0.0503185710757049,0,0,0,0.0153225806451613,0,0.129032258064516
24,0.039,0.0265139036742136,0.0514860963257864,0,0,0,0.0169677419354839,0,0.193548387096774
25,0.044,0.0307030062855921,0.0572969937144079,0,0,0,0.0184838709677419,0,0.226612903225806
26,0.044,0.0307030062855921,0.0572969937144079,0,0,0,0.0197741935483871,0,0.258064516129032
27,0.046,0.0323899161813249,0.0596100838186751,0,0,0,0.0212258064516129,0,0.355645161290322
28,0.05,0.0357806654978438,0.0642193345021562,0,0,0,0.0229032258064516,0,0.419354838709677
29,0.053,0.0383371289030164,0.0676628710969836,0,0,0,0.0246129032258065,0,0.451612903225806
30,0.056,0.0409039235089468,0.0710960764910532,0,0,0,0.0262258064516129,0,0.452419354838709
31,0.059,0.0434801590770338,0.0745198409229662,0,0,0,0.0275806451612903,0,0.483870967741935
