"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0.015,0.00735137117892105,0.022648628821079,0.015,0.00735137117892105,0.022648628821079,0.00580645161290323,0,0
1,0.015,0.00735137117892105,0.022648628821079,0.015,0.00735137117892105,0.022648628821079,0.0062258064516129,0,0
2,0.019,0.0103742201818057,0.0276257798181943,0.015,0.00735137117892105,0.022648628821079,0.00683870967741935,0,0
3,0.025,0.0150751542025801,0.0349248457974199,0.015,0.00735137117892105,0.022648628821079,0.00780645161290322,0,0.000806451612902492
4,0.035,0.0231960751236275,0.0468039248763725,0.015,0.00735137117892105,0.022648628821079,0.00974193548387097,0,0.0645161290322581
5,0.039,0.0265139036742136,0.0514860963257864,0.015,0.00735137117892105,0.022648628821079,0.0114193548387097,0,0.129032258064516
6,0.046,0.0323899161813249,0.0596100838186751,0.015,0.00735137117892105,0.022648628821079,0.0141935483870968,0,0.161290322580645
7,0.058,0.042620414998462,0.073379585001538,0.015,0.00735137117892105,0.022648628821079,0.0167741935483871,0,0.193548387096774
8,0.066,0.0495238931024022,0.0824761068975978,0.015,0.00735137117892105,0.022648628821079,0.0194516129032258,0,0.290322580645161
9,0.077,0.0590980399579326,0.0949019600420674,0.015,0.00735137117892105,0.022648628821079,0.022258064516129,0,0.354838709677419
10,0.088,0.0687469300693529,0.107253069930647,0.015,0.00735137117892105,0.022648628821079,0.026,0,0.387903225806451
11,0.097,0.0766858776736116,0.117314122326388,0.015,0.00735137117892105,0.022648628821079,0.0296451612903226,0,0.451612903225806
12,0.111,0.089098862072493,0.132901137927507,0.015,0.00735137117892105,0.022648628821079,0.0341290322580645,0,0.483870967741935
13,0.116,0.0935477983826516,0.138452201617348,0.015,0.00735137117892105,0.022648628821079,0.0383870967741935,0,0.516935483870967
14,0.127,0.103359818313961,0.150640181686039,0.015,0.00735137117892105,0.022648628821079,0.0428064516129032,0,0.613709677419354
15,0.136,0.11140942667817,0.16059057332183,0.015,0.00735137117892105,0.022648628821079,0.0482903225806452,0,0.645967741935483
16,0.154,0.127555750244076,0.180444249755924,0.015,0.00735137117892105,0.022648628821079,0.0542258064516129,0,0.709677419354839
17,0.164,0.136547945231645,0.191452054768355,0.015,0.00735137117892105,0.022648628821079,0.0591290322580645,0,0.709677419354839
18,0.176,0.147355001792109,0.204644998207891,0.015,0.00735137117892105,0.022648628821079,0.0655483870967742,0,0.741935483870968
19,0.182,0.152764191163277,0.211235808836723,0.015,0.00735137117892105,0.022648628821079,0.0710645161290323,0,0.774999999999999
20,0.194,0.163591890855613,0.224408109144387,0.015,0.00735137117892105,0.022648628821079,0.0778064516129032,0,0.806451612903226
21,0.206,0.17442964755261,0.23757035244739,0.015,0.00735137117892105,0.022648628821079,0.083741935483871,0,0.838709677419355
22,0.213,0.180755287659033,0.245244712340967,0.015,0.00735137117892105,0.022648628821079,0.0900645161290323,0,0.870967741935484
23,0.226,0.192508098090135,0.259491901909865,0.015,0.00735137117892105,0.022648628821079,0.0965161290322581,0,0.903225806451613
24,0.239,0.204265368688409,0.273734631311591,0.015,0.00735137117892105,0.022648628821079,0.104709677419355,0,0.904032258064515
25,0.252,0.216024607340498,0.287975392659502,0.015,0.00735137117892105,0.022648628821079,0.111483870967742,0,0.935483870967742
26,0.264,0.226879046114205,0.301120953885795,0.015,0.00735137117892105,0.022648628821079,0.119741935483871,0,0.935483870967742
27,0.279,0.240444127038727,0.317555872961273,0.015,0.00735137117892105,0.022648628821079,0.127064516129032,0,0.967741935483871
28,0.29,0.250388079756819,0.329611920243181,0.015,0.00735137117892105,0.022648628821079,0.134483870967742,0,0.967741935483871
29,0.298,0.257617272598738,0.338382727401262,0.015,0.00735137117892105,0.022648628821079,0.141774193548387,0,0.967741935483871
30,0.308,0.266649726884757,0.349350273115243,0.015,0.00735137117892105,0.022648628821079,0.149677419354839,0,1
31,0.329,0.285599697131002,0.372400302868998,0.015,0.00735137117892105,0.022648628821079,0.158225806451613,0,1
