"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0.015,0.00735137117892105,0.022648628821079,0.015,0.00735137117892105,0.022648628821079,0.00525806451612903,0,0
1,0.015,0.00735137117892105,0.022648628821079,0.015,0.00735137117892105,0.022648628821079,0.00570967741935484,0,0
2,0.029,0.0182886192943188,0.0397113807056812,0.015,0.00735137117892105,0.022648628821079,0.00670967741935484,0,0.032258064516129
3,0.039,0.0265139036742136,0.0514860963257864,0.015,0.00735137117892105,0.022648628821079,0.00838709677419355,0,0.0645161290322581
4,0.043,0.0298618465422251,0.0561381534577749,0.015,0.00735137117892105,0.022648628821079,0.0104838709677419,0,0.0975806451612896
5,0.051,0.0366316117968149,0.0653683882031851,0.015,0.00735137117892105,0.022648628821079,0.0129354838709677,0,0.162096774193548
6,0.054,0.0391916257050261,0.0688083742949739,0.015,0.00735137117892105,0.022648628821079,0.0154516129032258,0,0.225806451612903
7,0.06,0.0443408649460356,0.0756591350539644,0.015,0.00735137117892105,0.022648628821079,0.0181935483870968,0,0.291129032258064
8,0.068,0.0512581837300379,0.0847418162699621,0.015,0.00735137117892105,0.022648628821079,0.0210645161290323,0,0.354838709677419
9,0.075,0.0573511733794827,0.0926488266205173,0.015,0.00735137117892105,0.022648628821079,0.0246451612903226,0,0.387903225806451
10,0.09,0.0705079898025252,0.109492010197475,0.015,0.00735137117892105,0.022648628821079,0.0279032258064516,0,0.419354838709677
11,0.096,0.0758020416347619,0.116197958365238,0.015,0.00735137117892105,0.022648628821079,0.0320645161290323,0,0.452419354838709
12,0.106,0.0846577479493124,0.127342252050688,0.015,0.00735137117892105,0.022648628821079,0.0360322580645161,0,0.516129032258065
13,0.112,0.0899880458358163,0.134011954164184,0.015,0.00735137117892105,0.022648628821079,0.0399354838709678,0,0.580645161290323
14,0.125,0.101573519257046,0.148426480742954,0.015,0.00735137117892105,0.022648628821079,0.0440322580645161,0,0.581451612903225
15,0.141,0.115888708716161,0.166111291283839,0.015,0.00735137117892105,0.022648628821079,0.0484516129032258,0,0.612903225806452
16,0.156,0.129353072076269,0.182646927923731,0.015,0.00735137117892105,0.022648628821079,0.0534838709677419,0,0.67741935483871
17,0.176,0.147355001792109,0.204644998207891,0.015,0.00735137117892105,0.022648628821079,0.0589354838709678,0,0.709677419354839
18,0.185,0.155470021471362,0.214529978528638,0.015,0.00735137117892105,0.022648628821079,0.0652903225806452,0,0.741935483870968
19,0.195,0.164494690412266,0.225505309587734,0.015,0.00735137117892105,0.022648628821079,0.0712903225806452,0,0.74274193548387
20,0.209,0.177140352039899,0.240859647960101,0.015,0.00735137117892105,0.022648628821079,0.0780967741935484,0,0.806451612903226
21,0.225,0.191603844146273,0.258396155853727,0.015,0.00735137117892105,0.022648628821079,0.0843870967741936,0,0.838709677419355
22,0.24,0.205169885987765,0.274830114012235,0.015,0.00735137117892105,0.022648628821079,0.0917741935483871,0,0.870967741935484
23,0.258,0.221451970086391,0.294548029913609,0.015,0.00735137117892105,0.022648628821079,0.100193548387097,0,0.870967741935484
24,0.277,0.238635741622114,0.315364258377886,0.015,0.00735137117892105,0.022648628821079,0.10841935483871,0,0.903225806451613
25,0.296,0.255810222919028,0.336189777080971,0.015,0.00735137117892105,0.022648628821079,0.116548387096774,0,0.904032258064515
26,0.312,0.270261277807861,0.353738722192139,0.015,0.00735137117892105,0.022648628821079,0.124548387096774,0,0.935483870967742
27,0.329,0.285599697131002,0.372400302868998,0.015,0.00735137117892105,0.022648628821079,0.132645161290322,0,0.967741935483871
28,0.345,0.300017357036976,0.389982642963024,0.015,0.00735137117892105,0.022648628821079,0.141161290322581,0,0.967741935483871
29,0.359,0.312615350325468,0.405384649674532,0.015,0.00735137117892105,0.022648628821079,0.15016129032258,0,0.967741935483871
