"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0,0,0,0.001,-0.000960980735613036,0.00296098073561304,0,0,0
1,0.001,-0.000960980735613036,0.00296098073561304,0.001,-0.000960980735613036,0.00296098073561304,0.000516129032258065,0,0
2,0.002,-0.000774634605563186,0.00477463460556319,0.001,-0.000960980735613036,0.00296098073561304,0.000645161290322581,0,0
3,0.003,-0.000399923298444528,0.00639992329844453,0.001,-0.000960980735613036,0.00296098073561304,0.000967741935483871,0,0
4,0.003,-0.000399923298444528,0.00639992329844453,0.001,-0.000960980735613036,0.00296098073561304,0.00125806451612903,0,0
5,0.003,-0.000399923298444528,0.00639992329844453,0.001,-0.000960980735613036,0.00296098073561304,0.00145161290322581,0,0
6,0.004,7.21364013246085e-05,0.00792786359867539,0.001,-0.000960980735613036,0.00296098073561304,0.00193548387096774,0,0
7,0.006,0.00118453196518073,0.0108154680348193,0.001,-0.000960980735613036,0.00296098073561304,0.00251612903225806,0,0
8,0.009,0.00309336004482749,0.0149066399551725,0.001,-0.000960980735613036,0.00296098073561304,0.00283870967741935,0,0
9,0.01,0.00377071108359546,0.0162292889164045,0.001,-0.000960980735613036,0.00296098073561304,0.00338709677419355,0,0
10,0.01,0.00377071108359546,0.0162292889164045,0.001,-0.000960980735613036,0.00296098073561304,0.00390322580645161,0,0
11,0.014,0.00661447059279117,0.0213855294072088,0.001,-0.000960980735613036,0.00296098073561304,0.00483870967741935,0,0
12,0.015,0.00735137117892105,0.022648628821079,0.001,-0.000960980735613036,0.00296098073561304,0.00551612903225806,0,0
13,0.015,0.00735137117892105,0.022648628821079,0.001,-0.000960980735613036,0.00296098073561304,0.00641935483870968,0,0
14,0.018,0.00960855833131026,0.0263914416686897,0.001,-0.000960980735613036,0.00296098073561304,0.00761290322580645,0,0
15,0.022,0.0127039599872741,0.0312960400127259,0.001,-0.000960980735613036,0.00296098073561304,0.00880645161290322,0,0
16,0.023,0.0134901710061472,0.0325098289938528,0.001,-0.000960980735613036,0.00296098073561304,0.0100645161290323,0,0
17,0.027,0.0166752027211707,0.0373247972788293,0.001,-0.000960980735613036,0.00296098073561304,0.0118387096774194,0,0.032258064516129
18,0.028,0.017480333917581,0.038519666082419,0.001,-0.000960980735613036,0.00296098073561304,0.0130645161290323,0,0.032258064516129
19,0.03,0.019099891232927,0.040900108767073,0.001,-0.000960980735613036,0.00296098073561304,0.0144516129032258,0,0.0653225806451606
20,0.031,0.0199139960308447,0.0420860039691553,0.001,-0.000960980735613036,0.00296098073561304,0.015258064516129,0,0.0967741935483871
21,0.032,0.020730792338309,0.043269207661691,0.001,-0.000960980735613036,0.00296098073561304,0.0161290322580645,0,0.129032258064516
22,0.034,0.0223719479618081,0.0456280520381919,0.001,-0.000960980735613036,0.00296098073561304,0.0169677419354839,0,0.162096774193548
23,0.038,0.0256814289242951,0.0503185710757049,0.001,-0.000960980735613036,0.00296098073561304,0.0185483870967742,0,0.16290322580645
24,0.039,0.0265139036742136,0.0514860963257864,0.001,-0.000960980735613036,0.00296098073561304,0.0193870967741936,0,0.195161290322579
25,0.041,0.028184407307565,0.053815592692435,0.001,-0.000960980735613036,0.00296098073561304,0.0201935483870968,0,0.195967741935482
26,0.045,0.0315457143984855,0.0584542856015145,0.001,-0.000960980735613036,0.00296098073561304,0.0214193548387097,0,0.259677419354837
27,0.047,0.0332355599052206,0.0607644400947794,0.001,-0.000960980735613036,0.00296098073561304,0.0226774193548387,0,0.354838709677419
28,0.05,0.0357806654978438,0.0642193345021562,0.001,-0.000960980735613036,0.00296098073561304,0.0238064516129032,0,0.387096774193548
29,0.057,0.0417616602302103,0.0722383397697897,0.001,-0.000960980735613036,0.00296098073561304,0.0250967741935484,0,0.42016129032258
30,0.058,0.042620414998462,0.073379585001538,0.001,-0.000960980735613036,0.00296098073561304,0.0259354838709678,0,0.451612903225806
31,0.059,0.0434801590770338,0.0745198409229662,0.001,-0.000960980735613036,0.00296098073561304,0.027258064516129,0,0.452419354838709
32,0.063,0.0469284948926963,0.0790715051073037,0.001,-0.000960980735613036,0.00296098073561304,0.0285806451612903,0,0.484677419354838
33,0.067,0.0503906494652089,0.0836093505347912,0.001,-0.000960980735613036,0.00296098073561304,0.0299677419354839,0,0.516935483870967
34,0.07,0.0529955097644168,0.0870044902355832,0.001,-0.000960980735613036,0.00296098073561304,0.0316129032258065,0,0.548387096774194
35,0.078,0.0599724000464075,0.0960275999535925,0.001,-0.000960980735613036,0.00296098073561304,0.0336774193548387,0,0.580645161290323
36,0.084,0.0652307042518347,0.102769295748165,0.001,-0.000960980735613036,0.00296098073561304,0.0355806451612903,0,0.581451612903225
