"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0.003,-0.000399923298444528,0.00639992329844453,0,0,0,9.67741935483871e-05,0,0
3,0.007,0.00179608173032065,0.0122039182696793,0,0,0,0.0012258064516129,0,0
4,0.009,0.00309336004482749,0.0149066399551725,0,0,0,0.00180645161290323,0,0
5,0.011,0.00446336450151606,0.0175366354984839,0,0,0,0.00261290322580645,0,0
6,0.012,0.00516925265349824,0.0188307473465018,0,0,0,0.004,0,0
7,0.013,0.00588673200559098,0.020113267994409,0,0,0,0.00487096774193548,0,0
8,0.014,0.00661447059279117,0.0213855294072088,0,0,0,0.00580645161290323,0,0
9,0.014,0.00661447059279117,0.0213855294072088,0,0,0,0.0067741935483871,0,0
10,0.015,0.00735137117892105,0.022648628821079,0,0,0,0.0077741935483871,0,0
11,0.015,0.00735137117892105,0.022648628821079,0,0,0,0.0087741935483871,0,0
12,0.016,0.00809651718225398,0.023903482817746,0,0,0,0.00980645161290323,0,0
13,0.016,0.00809651718225398,0.023903482817746,0,0,0,0.0106451612903226,0,0
14,0.016,0.00809651718225398,0.023903482817746,0,0,0,0.0116774193548387,0,0
15,0.019,0.0103742201818057,0.0276257798181943,0,0,0,0.0125483870967742,0,0
16,0.02,0.0111456225515285,0.0288543774484715,0,0,0,0.0131290322580645,0,0
17,0.024,0.0142806598078629,0.0337193401921371,0,0,0,0.0139677419354839,0,0
18,0.027,0.0166752027211707,0.0373247972788293,0,0,0,0.0144516129032258,0,0.032258064516129
19,0.027,0.0166752027211707,0.0373247972788293,0,0,0,0.0149032258064516,0,0.032258064516129
20,0.029,0.0182886192943188,0.0397113807056812,0,0,0,0.0156774193548387,0,0.032258064516129
21,0.029,0.0182886192943188,0.0397113807056812,0,0,0,0.0164193548387097,0,0.0645161290322581
22,0.031,0.0199139960308447,0.0420860039691553,0,0,0,0.0172903225806452,0,0.0975806451612896
23,0.033,0.0215501498137987,0.0444498501862013,0,0,0,0.0182258064516129,0,0.130645161290321
24,0.034,0.0223719479618081,0.0456280520381919,0,0,0,0.0190322580645161,0,0.194354838709677
25,0.04,0.0273482544023891,0.0526517455976109,0,0,0,0.0202258064516129,0,0.258064516129032
26,0.043,0.0298618465422251,0.0561381534577749,0,0,0,0.0213870967741935,0,0.290322580645161
27,0.052,0.0374837788971962,0.0665162211028038,0,0,0,0.0226774193548387,0,0.32258064516129
28,0.057,0.0417616602302103,0.0722383397697897,0,0,0,0.024258064516129,0,0.387096774193548
29,0.064,0.0477927946803434,0.0802072053196566,0,0,0,0.0258387096774193,0,0.42016129032258
30,0.065,0.0486579345979684,0.0813420654020316,0,0,0,0.0271612903225806,0,0.452419354838709
31,0.071,0.0538652651360172,0.0881347348639828,0,0,0,0.0285483870967742,0,0.516129032258065
32,0.078,0.0599724000464075,0.0960275999535925,0,0,0,0.0302258064516129,0,0.516935483870967
33,0.083,0.0643529365019787,0.101647063498021,0,0,0,0.0323870967741936,0,0.581451612903225
34,0.087,0.0678671217072962,0.106132878292704,0,0,0,0.0343870967741936,0,0.67741935483871
35,0.098,0.0775701188367162,0.118429881163284,0,0,0,0.0364516129032258,0,0.67741935483871
36,0.1,0.0793397859535666,0.120660214046433,0,0,0,0.0388064516129032,0,0.67741935483871
37,0.103,0.0819971388050972,0.124002861194903,0,0,0,0.040741935483871,0,0.67741935483871
38,0.108,0.0864332093857453,0.129566790614255,0,0,0,0.0433225806451613,0,0.709677419354839
39,0.11,0.0882099909503914,0.131790009049609,0,0,0,0.0458064516129032,0,0.710483870967741
40,0.115,0.0926574182232228,0.137342581776777,0,0,0,0.0489032258064516,0,0.712096774193546
41,0.122,0.0988959173898334,0.145104082610167,0,0,0,0.0517741935483871,0,0.713709677419351
42,0.128,0.104253324713637,0.151746675286363,0,0,0,0.0548387096774194,0,0.745161290322578
43,0.133,0.108724267508382,0.157275732491618,0,0,0,0.0578064516129033,0,0.74596774193548
44,0.137,0.11230489044994,0.16169510955006,0,0,0,0.0604516129032258,0,0.808870967741933
45,0.143,0.117681750278475,0.168318249721525,0,0,0,0.0634193548387097,0,0.872580645161289
46,0.151,0.12486089580796,0.17713910419204,0,0,0,0.0666451612903226,0,0.967741935483871
47,0.157,0.130251950991869,0.183748049008131,0,0,0,0.0698064516129032,0,0.967741935483871
48,0.173,0.14465174255583,0.20134825744417,0,0,0,0.073258064516129,0,0.967741935483871
49,0.185,0.155470021471362,0.214529978528638,0,0,0,0.0765806451612903,0,0.967741935483871
50,0.193,0.162689160947535,0.223310839052465,0,0,0,0.0807741935483871,0,1
51,0.203,0.171719410454586,0.234280589545414,0,0,0,0.0843548387096774,0,1
52,0.212,0.179851486759831,0.244148513240169,0,0,0,0.0878709677419354,0,1
53,0.221,0.187987114975154,0.254012885024846,0,0,0,0.091516129032258,0,1
54,0.227,0.193412378304244,0.260587621695756,0,0,0,0.0957419354838709,0,1
55,0.236,0.201551890453772,0.270448109546228,0,0,0,0.0994193548387096,0,1
56,0.247,0.211501740498683,0.282498259501317,0,0,0,0.103322580645161,0,1
57,0.258,0.221451970086391,0.294548029913609,0,0,0,0.107032258064516,0,1
58,0.271,0.23320999471667,0.30879000528333,0,0,0,0.111516129032258,0,1
59,0.282,0.243156495687206,0.320843504312794,0,0,0,0.115677419354839,0,1
60,0.29,0.250388079756819,0.329611920243181,0,0,0,0.119903225806451,0,1
