"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0,0,0,0.001,-0.000960980735613036,0.00296098073561304,0,0,0
1,0.001,-0.000960980735613036,0.00296098073561304,0.001,-0.000960980735613036,0.00296098073561304,0.000612903225806452,0,0
2,0.002,-0.000774634605563186,0.00477463460556319,0.001,-0.000960980735613036,0.00296098073561304,0.000741935483870968,0,0
3,0.004,7.21364013246085e-05,0.00792786359867539,0.001,-0.000960980735613036,0.00296098073561304,0.000967741935483871,0,0
4,0.005,0.00060630877131024,0.00939369122868976,0.001,-0.000960980735613036,0.00296098073561304,0.00154838709677419,0,0
5,0.007,0.00179608173032065,0.0122039182696793,0.001,-0.000960980735613036,0.00296098073561304,0.00235483870967742,0,0
6,0.009,0.00309336004482749,0.0149066399551725,0.001,-0.000960980735613036,0.00296098073561304,0.00364516129032258,0,0
7,0.01,0.00377071108359546,0.0162292889164045,0.001,-0.000960980735613036,0.00296098073561304,0.00483870967741936,0,0
8,0.011,0.00446336450151606,0.0175366354984839,0.001,-0.000960980735613036,0.00296098073561304,0.00593548387096774,0,0
9,0.013,0.00588673200559098,0.020113267994409,0.001,-0.000960980735613036,0.00296098073561304,0.00667741935483871,0,0
10,0.013,0.00588673200559098,0.020113267994409,0.001,-0.000960980735613036,0.00296098073561304,0.00787096774193548,0,0
11,0.013,0.00588673200559098,0.020113267994409,0.001,-0.000960980735613036,0.00296098073561304,0.00864516129032258,0,0
12,0.016,0.00809651718225398,0.023903482817746,0.001,-0.000960980735613036,0.00296098073561304,0.00961290322580645,0,0
13,0.02,0.0111456225515285,0.0288543774484715,0.001,-0.000960980735613036,0.00296098073561304,0.0104838709677419,0,0
14,0.021,0.011922330376036,0.030077669623964,0.001,-0.000960980735613036,0.00296098073561304,0.0111612903225806,0,0
15,0.023,0.0134901710061472,0.0325098289938528,0.001,-0.000960980735613036,0.00296098073561304,0.0120645161290323,0,0
16,0.027,0.0166752027211707,0.0373247972788293,0.001,-0.000960980735613036,0.00296098073561304,0.0131612903225806,0,0.032258064516129
17,0.028,0.017480333917581,0.038519666082419,0.001,-0.000960980735613036,0.00296098073561304,0.014258064516129,0,0.0330645161290315
18,0.028,0.017480333917581,0.038519666082419,0.001,-0.000960980735613036,0.00296098073561304,0.0151290322580645,0,0.0967741935483871
19,0.03,0.019099891232927,0.040900108767073,0.001,-0.000960980735613036,0.00296098073561304,0.0163225806451613,0,0.0975806451612896
20,0.032,0.020730792338309,0.043269207661691,0.001,-0.000960980735613036,0.00296098073561304,0.0173225806451613,0,0.129838709677419
21,0.036,0.0240224275972174,0.0479775724027826,0.001,-0.000960980735613036,0.00296098073561304,0.0184838709677419,0,0.161290322580645
22,0.038,0.0256814289242951,0.0503185710757049,0.001,-0.000960980735613036,0.00296098073561304,0.0195161290322581,0,0.162096774193548
23,0.043,0.0298618465422251,0.0561381534577749,0.001,-0.000960980735613036,0.00296098073561304,0.0205161290322581,0,0.225806451612903
24,0.048,0.0340825965910642,0.0619174034089358,0.001,-0.000960980735613036,0.00296098073561304,0.0218387096774194,0,0.32258064516129
25,0.052,0.0374837788971962,0.0665162211028038,0.001,-0.000960980735613036,0.00296098073561304,0.0235161290322581,0,0.354838709677419
26,0.055,0.0400472348649093,0.0699527651350907,0.001,-0.000960980735613036,0.00296098073561304,0.0250322580645161,0,0.388709677419353
27,0.056,0.0409039235089468,0.0710960764910532,0.001,-0.000960980735613036,0.00296098073561304,0.0264516129032258,0,0.483870967741935
28,0.063,0.0469284948926963,0.0790715051073037,0.001,-0.000960980735613036,0.00296098073561304,0.0279677419354839,0,0.516935483870967
29,0.066,0.0495238931024022,0.0824761068975978,0.001,-0.000960980735613036,0.00296098073561304,0.0301290322580645,0,0.516935483870967
30,0.07,0.0529955097644168,0.0870044902355832,0.001,-0.000960980735613036,0.00296098073561304,0.0320322580645161,0,0.580645161290323
31,0.076,0.0582242930499021,0.0937757069500979,0.001,-0.000960980735613036,0.00296098073561304,0.0341612903225807,0,0.645967741935483
32,0.079,0.0608473597066438,0.0971526402933562,0.001,-0.000960980735613036,0.00296098073561304,0.0361290322580645,0,0.710483870967741
33,0.081,0.0625990254314961,0.0994009745685039,0.001,-0.000960980735613036,0.00296098073561304,0.0385161290322581,0,0.74274193548387
34,0.084,0.0652307042518347,0.102769295748165,0.001,-0.000960980735613036,0.00296098073561304,0.0404193548387097,0,0.774999999999999
35,0.088,0.0687469300693529,0.107253069930647,0.001,-0.000960980735613036,0.00296098073561304,0.0425483870967742,0,0.84032258064516
36,0.091,0.0713892218853553,0.110610778114645,0.001,-0.000960980735613036,0.00296098073561304,0.0446774193548387,0,0.872580645161289
37,0.095,0.0749186186119321,0.115081381388068,0.001,-0.000960980735613036,0.00296098073561304,0.0466129032258064,0,0.936290322580644
38,0.104,0.0828836556194023,0.125116344380598,0.001,-0.000960980735613036,0.00296098073561304,0.048741935483871,0,0.936290322580644
39,0.111,0.089098862072493,0.132901137927507,0.001,-0.000960980735613036,0.00296098073561304,0.0508709677419355,0,0.967741935483871
40,0.12,0.0971121310416512,0.142887868958349,0.001,-0.000960980735613036,0.00296098073561304,0.0535483870967742,0,0.968548387096773
