"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0.002,-0.000774634605563186,0.00477463460556319,0.002,-0.000774634605563186,0.00477463460556319,0.000645161290322581,0,0
1,0.002,-0.000774634605563186,0.00477463460556319,0.002,-0.000774634605563186,0.00477463460556319,0.000709677419354839,0,0
2,0.005,0.00060630877131024,0.00939369122868976,0.002,-0.000774634605563186,0.00477463460556319,0.000838709677419355,0,0
3,0.006,0.00118453196518073,0.0108154680348193,0.002,-0.000774634605563186,0.00477463460556319,0.00109677419354839,0,0
4,0.006,0.00118453196518073,0.0108154680348193,0.002,-0.000774634605563186,0.00477463460556319,0.00141935483870968,0,0
5,0.007,0.00179608173032065,0.0122039182696793,0.002,-0.000774634605563186,0.00477463460556319,0.002,0,0
6,0.008,0.00243397402437876,0.0135660259756212,0.002,-0.000774634605563186,0.00477463460556319,0.00303225806451613,0,0
7,0.009,0.00309336004482749,0.0149066399551725,0.002,-0.000774634605563186,0.00477463460556319,0.00396774193548387,0,0
8,0.01,0.00377071108359546,0.0162292889164045,0.002,-0.000774634605563186,0.00477463460556319,0.00467741935483871,0,0
9,0.013,0.00588673200559098,0.020113267994409,0.002,-0.000774634605563186,0.00477463460556319,0.00545161290322581,0,0
10,0.013,0.00588673200559098,0.020113267994409,0.002,-0.000774634605563186,0.00477463460556319,0.00619354838709677,0,0
11,0.015,0.00735137117892105,0.022648628821079,0.002,-0.000774634605563186,0.00477463460556319,0.00729032258064516,0,0
12,0.015,0.00735137117892105,0.022648628821079,0.002,-0.000774634605563186,0.00477463460556319,0.00787096774193548,0,0
13,0.017,0.00884913362985709,0.0251508663701429,0.002,-0.000774634605563186,0.00477463460556319,0.00887096774193548,0,0
14,0.018,0.00960855833131026,0.0263914416686897,0.002,-0.000774634605563186,0.00477463460556319,0.0095483870967742,0,0
15,0.021,0.011922330376036,0.030077669623964,0.002,-0.000774634605563186,0.00477463460556319,0.010258064516129,0,0
16,0.023,0.0134901710061472,0.0325098289938528,0.002,-0.000774634605563186,0.00477463460556319,0.0106129032258065,0,0
17,0.023,0.0134901710061472,0.0325098289938528,0.002,-0.000774634605563186,0.00477463460556319,0.0111612903225806,0,0
18,0.026,0.015873409066102,0.036126590933898,0.002,-0.000774634605563186,0.00477463460556319,0.0120322580645161,0,0.032258064516129
19,0.03,0.019099891232927,0.040900108767073,0.002,-0.000774634605563186,0.00477463460556319,0.0128064516129032,0,0.032258064516129
20,0.034,0.0223719479618081,0.0456280520381919,0.002,-0.000774634605563186,0.00477463460556319,0.0140322580645161,0,0.0645161290322581
21,0.037,0.0248509088665596,0.0491490911334404,0.002,-0.000774634605563186,0.00477463460556319,0.0151290322580645,0,0.129032258064516
22,0.039,0.0265139036742136,0.0514860963257864,0.002,-0.000774634605563186,0.00477463460556319,0.0165161290322581,0,0.162096774193548
23,0.04,0.0273482544023891,0.0526517455976109,0.002,-0.000774634605563186,0.00477463460556319,0.0181612903225806,0,0.225806451612903
24,0.044,0.0307030062855921,0.0572969937144079,0.002,-0.000774634605563186,0.00477463460556319,0.0195483870967742,0,0.228225806451611
25,0.046,0.0323899161813249,0.0596100838186751,0.002,-0.000774634605563186,0.00477463460556319,0.0213548387096774,0,0.323387096774193
26,0.048,0.0340825965910642,0.0619174034089358,0.002,-0.000774634605563186,0.00477463460556319,0.0228387096774194,0,0.354838709677419
27,0.05,0.0357806654978438,0.0642193345021562,0.002,-0.000774634605563186,0.00477463460556319,0.024258064516129,0,0.354838709677419
28,0.056,0.0409039235089468,0.0710960764910532,0.002,-0.000774634605563186,0.00477463460556319,0.0255161290322581,0,0.387903225806451
29,0.061,0.045202506231314,0.076797493768686,0.002,-0.000774634605563186,0.00477463460556319,0.0273225806451613,0,0.419354838709677
30,0.065,0.0486579345979684,0.0813420654020316,0.002,-0.000774634605563186,0.00477463460556319,0.0289354838709677,0,0.453225806451611
31,0.068,0.0512581837300379,0.0847418162699621,0.002,-0.000774634605563186,0.00477463460556319,0.0302903225806452,0,0.548387096774194
32,0.07,0.0529955097644168,0.0870044902355832,0.002,-0.000774634605563186,0.00477463460556319,0.0320645161290323,0,0.550806451612901
33,0.075,0.0573511733794827,0.0926488266205173,0.002,-0.000774634605563186,0.00477463460556319,0.0337741935483871,0,0.58306451612903
34,0.08,0.0617229057584898,0.0982770942415102,0.002,-0.000774634605563186,0.00477463460556319,0.035741935483871,0,0.679032258064515
35,0.085,0.0661089982966707,0.103891001703329,0.002,-0.000774634605563186,0.00477463460556319,0.0377096774193548,0,0.74274193548387
36,0.089,0.0696272226939747,0.108372777306025,0.002,-0.000774634605563186,0.00477463460556319,0.04,0,0.774193548387097
37,0.092,0.0722709096913901,0.11172909030861,0.002,-0.000774634605563186,0.00477463460556319,0.0425161290322581,0,0.806451612903226
38,0.097,0.0766858776736116,0.117314122326388,0.002,-0.000774634605563186,0.00477463460556319,0.0449354838709677,0,0.839516129032257
39,0.101,0.0802251970878171,0.121774802912183,0.002,-0.000774634605563186,0.00477463460556319,0.0473870967741935,0,0.871774193548386
40,0.109,0.0873214381267258,0.130678561873274,0.002,-0.000774634605563186,0.00477463460556319,0.0498064516129032,0,0.871774193548386
41,0.116,0.0935477983826516,0.138452201617348,0.002,-0.000774634605563186,0.00477463460556319,0.0522258064516129,0,0.903225806451613
42,0.123,0.0997881994388465,0.146211800561153,0.002,-0.000774634605563186,0.00477463460556319,0.0549354838709677,0,0.935483870967742
43,0.128,0.104253324713637,0.151746675286363,0.002,-0.000774634605563186,0.00477463460556319,0.0573548387096774,0,0.967741935483871
44,0.137,0.11230489044994,0.16169510955006,0.002,-0.000774634605563186,0.00477463460556319,0.060258064516129,0,0.967741935483871
45,0.145,0.119475513419372,0.170524486580628,0.002,-0.000774634605563186,0.00477463460556319,0.0636451612903226,0,0.968548387096773
46,0.156,0.129353072076269,0.182646927923731,0.002,-0.000774634605563186,0.00477463460556319,0.0668064516129032,0,1
47,0.163,0.135648122384742,0.190351877615258,0.002,-0.000774634605563186,0.00477463460556319,0.0698064516129032,0,1
48,0.173,0.14465174255583,0.20134825744417,0.002,-0.000774634605563186,0.00477463460556319,0.0739677419354839,0,1
49,0.184,0.154567991280667,0.213432008719333,0.002,-0.000774634605563186,0.00477463460556319,0.0770322580645161,0,1
50,0.191,0.16088391639065,0.22111608360935,0.002,-0.000774634605563186,0.00477463460556319,0.0796451612903225,0,1
51,0.201,0.16991286419569,0.232087135804311,0.002,-0.000774634605563186,0.00477463460556319,0.0833225806451613,0,1
52,0.213,0.180755287659033,0.245244712340967,0.002,-0.000774634605563186,0.00477463460556319,0.0878064516129032,0,1
53,0.22,0.187083010387822,0.252916989612178,0.002,-0.000774634605563186,0.00477463460556319,0.0914516129032258,0,1
54,0.234,0.199742977316568,0.268257022683432,0.002,-0.000774634605563186,0.00477463460556319,0.096258064516129,0,1
55,0.251,0.215120033965779,0.286879966034221,0.002,-0.000774634605563186,0.00477463460556319,0.100354838709677,0,1
56,0.262,0.225070065607958,0.298929934392042,0.002,-0.000774634605563186,0.00477463460556319,0.104774193548387,0,1
57,0.272,0.23411434206823,0.30988565793177,0.002,-0.000774634605563186,0.00477463460556319,0.10916129032258,0,1
58,0.283,0.244060559123326,0.321939440876674,0.002,-0.000774634605563186,0.00477463460556319,0.113903225806452,0,1
59,0.291,0.251291868791618,0.330708131208382,0.002,-0.000774634605563186,0.00477463460556319,0.119354838709677,0,1
60,0.304,0.263037331265101,0.344962668734899,0.002,-0.000774634605563186,0.00477463460556319,0.124483870967742,0,1
