"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0.001,-0.000960980735613036,0.00296098073561304,0,0,0,6.45161290322581e-05,0,0
3,0.004,7.21364013246085e-05,0.00792786359867539,0,0,0,0.000225806451612903,0,0
4,0.006,0.00118453196518073,0.0108154680348193,0,0,0,0.000967741935483871,0,0
5,0.006,0.00118453196518073,0.0108154680348193,0,0,0,0.0017741935483871,0,0
6,0.006,0.00118453196518073,0.0108154680348193,0,0,0,0.00261290322580645,0,0
7,0.006,0.00118453196518073,0.0108154680348193,0,0,0,0.00367741935483871,0,0
8,0.008,0.00243397402437876,0.0135660259756212,0,0,0,0.00451612903225806,0,0
9,0.011,0.00446336450151606,0.0175366354984839,0,0,0,0.0052258064516129,0,0
10,0.012,0.00516925265349824,0.0188307473465018,0,0,0,0.00574193548387097,0,0
11,0.015,0.00735137117892105,0.022648628821079,0,0,0,0.00661290322580645,0,0
12,0.016,0.00809651718225398,0.023903482817746,0,0,0,0.0072258064516129,0,0
13,0.017,0.00884913362985709,0.0251508663701429,0,0,0,0.00803225806451613,0,0
14,0.017,0.00884913362985709,0.0251508663701429,0,0,0,0.00896774193548387,0,0
15,0.019,0.0103742201818057,0.0276257798181943,0,0,0,0.01,0,0
16,0.021,0.011922330376036,0.030077669623964,0,0,0,0.0108709677419355,0,0
17,0.024,0.0142806598078629,0.0337193401921371,0,0,0,0.0117096774193548,0,0
18,0.024,0.0142806598078629,0.0337193401921371,0,0,0,0.0126129032258064,0,0
19,0.028,0.017480333917581,0.038519666082419,0,0,0,0.013741935483871,0,0.032258064516129
20,0.03,0.019099891232927,0.040900108767073,0,0,0,0.0148387096774194,0,0.0330645161290315
21,0.031,0.0199139960308447,0.0420860039691553,0,0,0,0.0158387096774194,0,0.066129032258063
22,0.033,0.0215501498137987,0.0444498501862013,0,0,0,0.0167741935483871,0,0.0975806451612896
23,0.034,0.0223719479618081,0.0456280520381919,0,0,0,0.0177096774193548,0,0.0975806451612896
24,0.037,0.0248509088665596,0.0491490911334404,0,0,0,0.0186129032258065,0,0.129838709677419
25,0.039,0.0265139036742136,0.0514860963257864,0,0,0,0.0195161290322581,0,0.161290322580645
26,0.042,0.0290222930828778,0.0549777069171222,0,0,0,0.0204516129032258,0,0.194354838709677
27,0.044,0.0307030062855921,0.0572969937144079,0,0,0,0.0216129032258065,0,0.258064516129032
28,0.049,0.0349309798092677,0.0630690201907323,0,0,0,0.022741935483871,0,0.32258064516129
29,0.051,0.0366316117968149,0.0653683882031851,0,0,0,0.0241290322580645,0,0.355645161290322
30,0.056,0.0409039235089468,0.0710960764910532,0,0,0,0.0253870967741935,0,0.355645161290322
31,0.063,0.0469284948926963,0.0790715051073037,0,0,0,0.0269677419354839,0,0.357258064516127
32,0.07,0.0529955097644168,0.0870044902355832,0,0,0,0.0288387096774194,0,0.452419354838709
33,0.075,0.0573511733794827,0.0926488266205173,0,0,0,0.0303225806451613,0,0.484677419354838
34,0.081,0.0625990254314961,0.0994009745685039,0,0,0,0.0323225806451613,0,0.549193548387096
35,0.09,0.0705079898025252,0.109492010197475,0,0,0,0.0349032258064516,0,0.646774193548386
36,0.095,0.0749186186119321,0.115081381388068,0,0,0,0.0370322580645161,0,0.647580645161288
37,0.104,0.0828836556194023,0.125116344380598,0,0,0,0.0397741935483871,0,0.712096774193546
38,0.107,0.0855453106429216,0.128454689357078,0,0,0,0.0426129032258065,0,0.743548387096773
39,0.115,0.0926574182232228,0.137342581776777,0,0,0,0.0453225806451613,0,0.808064516129031
40,0.119,0.096220635819604,0.141779364180396,0,0,0,0.0479032258064516,0,0.870967741935484
41,0.128,0.104253324713637,0.151746675286363,0,0,0,0.050741935483871,0,0.871774193548386
42,0.133,0.108724267508382,0.157275732491618,0,0,0,0.0538064516129032,0,0.903225806451613
43,0.141,0.115888708716161,0.166111291283839,0,0,0,0.0565806451612903,0,0.903225806451613
44,0.146,0.120372658043845,0.171627341956155,0,0,0,0.0600967741935484,0,0.904032258064515
45,0.153,0.126657312398264,0.179342687601736,0,0,0,0.0636129032258065,0,0.935483870967742
46,0.165,0.137447893676268,0.192552106323732,0,0,0,0.0671612903225806,0,0.936290322580644
47,0.172,0.143750866799669,0.200249133200331,0,0,0,0.0710645161290322,0,0.967741935483871
48,0.181,0.151862424764605,0.210137575235395,0,0,0,0.074741935483871,0,1
49,0.189,0.159078969534483,0.218921030465517,0,0,0,0.079,0,1
50,0.198,0.167203491469716,0.228796508530284,0,0,0,0.0829677419354838,0,1
51,0.206,0.17442964755261,0.23757035244739,0,0,0,0.0872258064516128,0,1
52,0.208,0.176236734259446,0.239763265740554,0,0,0,0.0911290322580644,0,1
53,0.216,0.183466939891858,0.248533060108142,0,0,0,0.0954193548387096,0,1
54,0.228,0.194316683608813,0.261683316391187,0,0,0,0.100193548387097,0,1
55,0.238,0.203360862939834,0.272639137060166,0,0,0,0.104935483870968,0,1
56,0.25,0.214215459576329,0.285784540423671,0,0,0,0.108548387096774,0,1
57,0.259,0.222356508366665,0.295643491633335,0,0,0,0.113,0,1
58,0.269,0.23140123994244,0.30659876005756,0,0,0,0.117516129032258,0,1
59,0.281,0.242252401931861,0.319747598068139,0,0,0,0.122258064516129,0,1
60,0.292,0.252195619580692,0.331804380419308,0,0,0,0.127,0,1
