"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0.002,-0.000774634605563186,0.00477463460556319,0.002,-0.000774634605563186,0.00477463460556319,0.000903225806451613,0,0
1,0.002,-0.000774634605563186,0.00477463460556319,0.002,-0.000774634605563186,0.00477463460556319,0.000967741935483871,0,0
2,0.003,-0.000399923298444528,0.00639992329844453,0.002,-0.000774634605563186,0.00477463460556319,0.001,0,0
3,0.005,0.00060630877131024,0.00939369122868976,0.002,-0.000774634605563186,0.00477463460556319,0.00141935483870968,0,0
4,0.006,0.00118453196518073,0.0108154680348193,0.002,-0.000774634605563186,0.00477463460556319,0.00196774193548387,0,0
5,0.006,0.00118453196518073,0.0108154680348193,0.002,-0.000774634605563186,0.00477463460556319,0.00245161290322581,0,0
6,0.007,0.00179608173032065,0.0122039182696793,0.002,-0.000774634605563186,0.00477463460556319,0.00312903225806452,0,0
7,0.009,0.00309336004482749,0.0149066399551725,0.002,-0.000774634605563186,0.00477463460556319,0.00403225806451613,0,0
8,0.011,0.00446336450151606,0.0175366354984839,0.002,-0.000774634605563186,0.00477463460556319,0.00467741935483871,0,0
9,0.013,0.00588673200559098,0.020113267994409,0.002,-0.000774634605563186,0.00477463460556319,0.00554838709677419,0,0
10,0.013,0.00588673200559098,0.020113267994409,0.002,-0.000774634605563186,0.00477463460556319,0.0062258064516129,0,0
11,0.014,0.00661447059279117,0.0213855294072088,0.002,-0.000774634605563186,0.00477463460556319,0.00696774193548387,0,0
12,0.015,0.00735137117892105,0.022648628821079,0.002,-0.000774634605563186,0.00477463460556319,0.00758064516129032,0,0
13,0.016,0.00809651718225398,0.023903482817746,0.002,-0.000774634605563186,0.00477463460556319,0.00848387096774194,0,0
14,0.018,0.00960855833131026,0.0263914416686897,0.002,-0.000774634605563186,0.00477463460556319,0.00896774193548387,0,0
15,0.02,0.0111456225515285,0.0288543774484715,0.002,-0.000774634605563186,0.00477463460556319,0.00983870967741935,0,0
16,0.022,0.0127039599872741,0.0312960400127259,0.002,-0.000774634605563186,0.00477463460556319,0.0106451612903226,0,0
17,0.025,0.0150751542025801,0.0349248457974199,0.002,-0.000774634605563186,0.00477463460556319,0.0116774193548387,0,0.000806451612902492
18,0.028,0.017480333917581,0.038519666082419,0.002,-0.000774634605563186,0.00477463460556319,0.0124193548387097,0,0.032258064516129
19,0.03,0.019099891232927,0.040900108767073,0.002,-0.000774634605563186,0.00477463460556319,0.0135161290322581,0,0.0330645161290315
20,0.032,0.020730792338309,0.043269207661691,0.002,-0.000774634605563186,0.00477463460556319,0.0144516129032258,0,0.0653225806451606
21,0.035,0.0231960751236275,0.0468039248763725,0.002,-0.000774634605563186,0.00477463460556319,0.0155161290322581,0,0.0975806451612896
22,0.039,0.0265139036742136,0.0514860963257864,0.002,-0.000774634605563186,0.00477463460556319,0.0167741935483871,0,0.161290322580645
23,0.04,0.0273482544023891,0.0526517455976109,0.002,-0.000774634605563186,0.00477463460556319,0.0182258064516129,0,0.16290322580645
24,0.043,0.0298618465422251,0.0561381534577749,0.002,-0.000774634605563186,0.00477463460556319,0.0199677419354839,0,0.258064516129032
25,0.046,0.0323899161813249,0.0596100838186751,0.002,-0.000774634605563186,0.00477463460556319,0.0210967741935484,0,0.291129032258064
26,0.047,0.0332355599052206,0.0607644400947794,0.002,-0.000774634605563186,0.00477463460556319,0.0227741935483871,0,0.354838709677419
