"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0.001,-0.000960980735613036,0.00296098073561304,0.001,-0.000960980735613036,0.00296098073561304,0.00032258064516129,0,0
1,0.001,-0.000960980735613036,0.00296098073561304,0.001,-0.000960980735613036,0.00296098073561304,0.00032258064516129,0,0
2,0.003,-0.000399923298444528,0.00639992329844453,0.001,-0.000960980735613036,0.00296098073561304,0.000419354838709677,0,0
3,0.005,0.00060630877131024,0.00939369122868976,0.001,-0.000960980735613036,0.00296098073561304,0.00067741935483871,0,0
4,0.006,0.00118453196518073,0.0108154680348193,0.001,-0.000960980735613036,0.00296098073561304,0.00125806451612903,0,0
5,0.006,0.00118453196518073,0.0108154680348193,0.001,-0.000960980735613036,0.00296098073561304,0.0017741935483871,0,0
6,0.007,0.00179608173032065,0.0122039182696793,0.001,-0.000960980735613036,0.00296098073561304,0.00267741935483871,0,0
7,0.01,0.00377071108359546,0.0162292889164045,0.001,-0.000960980735613036,0.00296098073561304,0.0037741935483871,0,0
8,0.01,0.00377071108359546,0.0162292889164045,0.001,-0.000960980735613036,0.00296098073561304,0.00445161290322581,0,0
9,0.01,0.00377071108359546,0.0162292889164045,0.001,-0.000960980735613036,0.00296098073561304,0.005,0,0
10,0.012,0.00516925265349824,0.0188307473465018,0.001,-0.000960980735613036,0.00296098073561304,0.00570967741935484,0,0
11,0.014,0.00661447059279117,0.0213855294072088,0.001,-0.000960980735613036,0.00296098073561304,0.00654838709677419,0,0
12,0.016,0.00809651718225398,0.023903482817746,0.001,-0.000960980735613036,0.00296098073561304,0.00741935483870968,0,0
13,0.017,0.00884913362985709,0.0251508663701429,0.001,-0.000960980735613036,0.00296098073561304,0.0082258064516129,0,0
14,0.017,0.00884913362985709,0.0251508663701429,0.001,-0.000960980735613036,0.00296098073561304,0.009,0,0
15,0.02,0.0111456225515285,0.0288543774484715,0.001,-0.000960980735613036,0.00296098073561304,0.00970967741935484,0,0
16,0.024,0.0142806598078629,0.0337193401921371,0.001,-0.000960980735613036,0.00296098073561304,0.0106451612903226,0,0
17,0.025,0.0150751542025801,0.0349248457974199,0.001,-0.000960980735613036,0.00296098073561304,0.0114516129032258,0,0.000806451612902492
18,0.026,0.015873409066102,0.036126590933898,0.001,-0.000960980735613036,0.00296098073561304,0.0122258064516129,0,0.032258064516129
19,0.029,0.0182886192943188,0.0397113807056812,0.001,-0.000960980735613036,0.00296098073561304,0.013,0,0.0330645161290315
20,0.032,0.020730792338309,0.043269207661691,0.001,-0.000960980735613036,0.00296098073561304,0.0140322580645161,0,0.0653225806451606
21,0.034,0.0223719479618081,0.0456280520381919,0.001,-0.000960980735613036,0.00296098073561304,0.0149677419354839,0,0.0975806451612896
22,0.041,0.028184407307565,0.053815592692435,0.001,-0.000960980735613036,0.00296098073561304,0.0161935483870968,0,0.129838709677419
23,0.044,0.0307030062855921,0.0572969937144079,0.001,-0.000960980735613036,0.00296098073561304,0.0174193548387097,0,0.194354838709677
24,0.048,0.0340825965910642,0.0619174034089358,0.001,-0.000960980735613036,0.00296098073561304,0.0186774193548387,0,0.194354838709677
25,0.052,0.0374837788971962,0.0665162211028038,0.001,-0.000960980735613036,0.00296098073561304,0.020258064516129,0,0.226612903225806
26,0.053,0.0383371289030164,0.0676628710969836,0.001,-0.000960980735613036,0.00296098073561304,0.0215483870967742,0,0.258064516129032
27,0.058,0.042620414998462,0.073379585001538,0.001,-0.000960980735613036,0.00296098073561304,0.0229032258064516,0,0.291935483870966
28,0.063,0.0469284948926963,0.0790715051073037,0.001,-0.000960980735613036,0.00296098073561304,0.0246129032258065,0,0.291935483870966
29,0.067,0.0503906494652089,0.0836093505347912,0.001,-0.000960980735613036,0.00296098073561304,0.0263870967741936,0,0.355645161290322
30,0.069,0.0521264766727964,0.0858735233272036,0.001,-0.000960980735613036,0.00296098073561304,0.0278064516129032,0,0.387903225806451
31,0.077,0.0590980399579326,0.0949019600420674,0.001,-0.000960980735613036,0.00296098073561304,0.0299032258064516,0,0.419354838709677
32,0.085,0.0661089982966707,0.103891001703329,0.001,-0.000960980735613036,0.00296098073561304,0.0321290322580645,0,0.484677419354838
33,0.087,0.0678671217072962,0.106132878292704,0.001,-0.000960980735613036,0.00296098073561304,0.034258064516129,0,0.516129032258065
34,0.097,0.0766858776736116,0.117314122326388,0.001,-0.000960980735613036,0.00296098073561304,0.0362258064516129,0,0.516935483870967
35,0.109,0.0873214381267258,0.130678561873274,0.001,-0.000960980735613036,0.00296098073561304,0.0388709677419355,0,0.549193548387096
36,0.112,0.0899880458358163,0.134011954164184,0.001,-0.000960980735613036,0.00296098073561304,0.0413225806451613,0,0.580645161290323
37,0.116,0.0935477983826516,0.138452201617348,0.001,-0.000960980735613036,0.00296098073561304,0.0441935483870968,0,0.645967741935483
38,0.12,0.0971121310416512,0.142887868958349,0.001,-0.000960980735613036,0.00296098073561304,0.0472903225806452,0,0.709677419354839
39,0.127,0.103359818313961,0.150640181686039,0.001,-0.000960980735613036,0.00296098073561304,0.0501935483870968,0,0.710483870967741
40,0.133,0.108724267508382,0.157275732491618,0.001,-0.000960980735613036,0.00296098073561304,0.0532258064516129,0,0.711290322580644
41,0.14,0.114992466251426,0.165007533748574,0.001,-0.000960980735613036,0.00296098073561304,0.0567741935483871,0,0.774999999999999
42,0.149,0.123065109092335,0.174934890907665,0.001,-0.000960980735613036,0.00296098073561304,0.0599354838709677,0,0.806451612903226
43,0.156,0.129353072076269,0.182646927923731,0.001,-0.000960980735613036,0.00296098073561304,0.0631935483870968,0,0.838709677419355
44,0.165,0.137447893676268,0.192552106323732,0.001,-0.000960980735613036,0.00296098073561304,0.0664838709677419,0,0.871774193548386
45,0.173,0.14465174255583,0.20134825744417,0.001,-0.000960980735613036,0.00296098073561304,0.0699677419354838,0,0.904838709677418
46,0.184,0.154567991280667,0.213432008719333,0.001,-0.000960980735613036,0.00296098073561304,0.073258064516129,0,0.936290322580644
47,0.192,0.161786502262324,0.222213497737676,0.001,-0.000960980735613036,0.00296098073561304,0.0760967741935483,0,0.936290322580644
48,0.203,0.171719410454586,0.234280589545414,0.001,-0.000960980735613036,0.00296098073561304,0.079516129032258,0,0.967741935483871
49,0.21,0.178044017615999,0.241955982384001,0.001,-0.000960980735613036,0.00296098073561304,0.0830645161290322,0,0.967741935483871
50,0.219,0.186178939336954,0.251821060663046,0.001,-0.000960980735613036,0.00296098073561304,0.0876129032258064,0,0.968548387096773
51,0.232,0.197934132429463,0.266065867570537,0.001,-0.000960980735613036,0.00296098073561304,0.0917419354838709,0,1
52,0.243,0.207883496411139,0.278116503588861,0.001,-0.000960980735613036,0.00296098073561304,0.0961612903225805,0,1
53,0.25,0.214215459576329,0.285784540423671,0.001,-0.000960980735613036,0.00296098073561304,0.10041935483871,0,1
54,0.258,0.221451970086391,0.294548029913609,0.001,-0.000960980735613036,0.00296098073561304,0.105032258064516,0,1
55,0.263,0.225974562266616,0.300025437733384,0.001,-0.000960980735613036,0.00296098073561304,0.11,0,1
56,0.277,0.238635741622114,0.315364258377886,0.001,-0.000960980735613036,0.00296098073561304,0.114645161290322,0,1
57,0.285,0.24586859147862,0.32413140852138,0.001,-0.000960980735613036,0.00296098073561304,0.118806451612903,0,1
58,0.298,0.257617272598738,0.338382727401262,0.001,-0.000960980735613036,0.00296098073561304,0.123645161290322,0,1
59,0.311,0.269358472218299,0.352641527781701,0.001,-0.000960980735613036,0.00296098073561304,0.12858064516129,0,1
60,0.326,0.282894278058534,0.369105721941466,0.001,-0.000960980735613036,0.00296098073561304,0.133258064516129,0,1
