"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0.003,-0.000399923298444528,0.00639992329844453,0,0,0,0.000193548387096774,0,0
3,0.003,-0.000399923298444528,0.00639992329844453,0,0,0,0.000483870967741935,0,0
4,0.006,0.00118453196518073,0.0108154680348193,0,0,0,0.001,0,0
5,0.006,0.00118453196518073,0.0108154680348193,0,0,0,0.00158064516129032,0,0
6,0.007,0.00179608173032065,0.0122039182696793,0,0,0,0.00248387096774194,0,0
7,0.007,0.00179608173032065,0.0122039182696793,0,0,0,0.00309677419354839,0,0
8,0.009,0.00309336004482749,0.0149066399551725,0,0,0,0.00354838709677419,0,0
9,0.009,0.00309336004482749,0.0149066399551725,0,0,0,0.00409677419354839,0,0
10,0.009,0.00309336004482749,0.0149066399551725,0,0,0,0.00474193548387097,0,0
11,0.01,0.00377071108359546,0.0162292889164045,0,0,0,0.00525806451612903,0,0
12,0.011,0.00446336450151606,0.0175366354984839,0,0,0,0.0057741935483871,0,0
13,0.012,0.00516925265349824,0.0188307473465018,0,0,0,0.00619354838709677,0,0
14,0.013,0.00588673200559098,0.020113267994409,0,0,0,0.0067741935483871,0,0
15,0.013,0.00588673200559098,0.020113267994409,0,0,0,0.00745161290322581,0,0
16,0.015,0.00735137117892105,0.022648628821079,0,0,0,0.00803225806451613,0,0
17,0.018,0.00960855833131026,0.0263914416686897,0,0,0,0.00887096774193548,0,0
18,0.02,0.0111456225515285,0.0288543774484715,0,0,0,0.00932258064516129,0,0
19,0.026,0.015873409066102,0.036126590933898,0,0,0,0.0105161290322581,0,0.032258064516129
20,0.028,0.017480333917581,0.038519666082419,0,0,0,0.0114193548387097,0,0.032258064516129
21,0.03,0.019099891232927,0.040900108767073,0,0,0,0.0123870967741935,0,0.0645161290322581
22,0.032,0.020730792338309,0.043269207661691,0,0,0,0.0131935483870968,0,0.0645161290322581
23,0.034,0.0223719479618081,0.0456280520381919,0,0,0,0.0141935483870968,0,0.0967741935483871
24,0.035,0.0231960751236275,0.0468039248763725,0,0,0,0.0152258064516129,0,0.0975806451612896
25,0.038,0.0256814289242951,0.0503185710757049,0,0,0,0.0164838709677419,0,0.129032258064516
26,0.043,0.0298618465422251,0.0561381534577749,0,0,0,0.0176451612903226,0,0.161290322580645
27,0.044,0.0307030062855921,0.0572969937144079,0,0,0,0.0189354838709677,0,0.193548387096774
28,0.048,0.0340825965910642,0.0619174034089358,0,0,0,0.0200645161290323,0,0.225806451612903
29,0.051,0.0366316117968149,0.0653683882031851,0,0,0,0.0209677419354839,0,0.258064516129032
30,0.053,0.0383371289030164,0.0676628710969836,0,0,0,0.0221935483870968,0,0.258870967741935
31,0.057,0.0417616602302103,0.0722383397697897,0,0,0,0.0239032258064516,0,0.292741935483869
32,0.064,0.0477927946803434,0.0802072053196566,0,0,0,0.0256774193548387,0,0.387096774193548
33,0.068,0.0512581837300379,0.0847418162699621,0,0,0,0.0274838709677419,0,0.451612903225806
34,0.071,0.0538652651360172,0.0881347348639828,0,0,0,0.028741935483871,0,0.453225806451611
35,0.073,0.0556068743507967,0.0903931256492033,0,0,0,0.0304193548387097,0,0.516935483870967
36,0.076,0.0582242930499021,0.0937757069500979,0,0,0,0.0327096774193548,0,0.612903225806452
37,0.083,0.0643529365019787,0.101647063498021,0,0,0,0.0350322580645161,0,0.645967741935483
38,0.089,0.0696272226939747,0.108372777306025,0,0,0,0.0373870967741936,0,0.709677419354839
39,0.092,0.0722709096913901,0.11172909030861,0,0,0,0.0392903225806452,0,0.74274193548387
40,0.098,0.0775701188367162,0.118429881163284,0,0,0,0.0417096774193548,0,0.806451612903226
41,0.102,0.0811109836941236,0.122889016305876,0,0,0,0.0436774193548387,0,0.807258064516128
42,0.109,0.0873214381267258,0.130678561873274,0,0,0,0.045741935483871,0,0.838709677419355
43,0.113,0.0908775367061634,0.135122463293837,0,0,0,0.0480322580645161,0,0.871774193548386
44,0.122,0.0988959173898334,0.145104082610167,0,0,0,0.0502258064516129,0,0.903225806451613
45,0.126,0.102466548469018,0.149533451530982,0,0,0,0.0530967741935484,0,0.904032258064515
46,0.132,0.107829636915989,0.156170363084011,0,0,0,0.0558064516129032,0,0.936290322580644
47,0.141,0.115888708716161,0.166111291283839,0,0,0,0.0589354838709677,0,0.967741935483871
48,0.151,0.12486089580796,0.17713910419204,0,0,0,0.0619354838709677,0,0.967741935483871
49,0.159,0.132050132418442,0.185949867581558,0,0,0,0.065258064516129,0,0.968548387096773
50,0.165,0.137447893676268,0.192552106323732,0,0,0,0.0683548387096774,0,1
51,0.18,0.150960749858502,0.209039250141498,0,0,0,0.0718064516129032,0,1
52,0.187,0.157274333444773,0.216725666555227,0,0,0,0.0753548387096774,0,1
53,0.191,0.16088391639065,0.22111608360935,0,0,0,0.0788709677419355,0,1
54,0.2,0.16900967893035,0.23099032106965,0,0,0,0.0825806451612903,0,1
55,0.209,0.177140352039899,0.240859647960101,0,0,0,0.086741935483871,0,1
56,0.217,0.184370902830142,0.249629097169858,0,0,0,0.0908709677419355,0,1
57,0.228,0.194316683608813,0.261683316391187,0,0,0,0.0949032258064516,0,1
58,0.245,0.209692608131868,0.280307391868132,0,0,0,0.0990645161290322,0,1
59,0.256,0.219642870572403,0.292357129427597,0,0,0,0.103193548387097,0,1
60,0.27,0.232305627032345,0.307694372967655,0,0,0,0.10741935483871,0,1
