"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0.001,-0.000960980735613036,0.00296098073561304,0,0,0,9.67741935483871e-05,0,0
3,0.005,0.00060630877131024,0.00939369122868976,0,0,0,0.000419354838709677,0,0
4,0.006,0.00118453196518073,0.0108154680348193,0,0,0,0.00116129032258065,0,0
5,0.007,0.00179608173032065,0.0122039182696793,0,0,0,0.00206451612903226,0,0
6,0.008,0.00243397402437876,0.0135660259756212,0,0,0,0.003,0,0
7,0.009,0.00309336004482749,0.0149066399551725,0,0,0,0.00383870967741936,0,0
8,0.011,0.00446336450151606,0.0175366354984839,0,0,0,0.00445161290322581,0,0
9,0.014,0.00661447059279117,0.0213855294072088,0,0,0,0.00532258064516129,0,0
10,0.017,0.00884913362985709,0.0251508663701429,0,0,0,0.00625806451612903,0,0
11,0.019,0.0103742201818057,0.0276257798181943,0,0,0,0.00751612903225806,0,0
12,0.024,0.0142806598078629,0.0337193401921371,0,0,0,0.00867741935483871,0,0
13,0.024,0.0142806598078629,0.0337193401921371,0,0,0,0.00951612903225807,0,0
14,0.026,0.015873409066102,0.036126590933898,0,0,0,0.0109354838709677,0,0.032258064516129
15,0.026,0.015873409066102,0.036126590933898,0,0,0,0.012258064516129,0,0.0330645161290315
16,0.026,0.015873409066102,0.036126590933898,0,0,0,0.0135483870967742,0,0.0653225806451606
17,0.031,0.0199139960308447,0.0420860039691553,0,0,0,0.0154516129032258,0,0.0967741935483871
18,0.031,0.0199139960308447,0.0420860039691553,0,0,0,0.0166129032258065,0,0.0991935483870946
19,0.034,0.0223719479618081,0.0456280520381919,0,0,0,0.0181612903225806,0,0.131451612903224
20,0.038,0.0256814289242951,0.0503185710757049,0,0,0,0.0196774193548387,0,0.195161290322579
21,0.041,0.028184407307565,0.053815592692435,0,0,0,0.0209032258064516,0,0.258064516129032
22,0.042,0.0290222930828778,0.0549777069171222,0,0,0,0.0224516129032258,0,0.290322580645161
23,0.045,0.0315457143984855,0.0584542856015145,0,0,0,0.0239032258064516,0,0.291129032258064
24,0.048,0.0340825965910642,0.0619174034089358,0,0,0,0.0250645161290323,0,0.32258064516129
25,0.051,0.0366316117968149,0.0653683882031851,0,0,0,0.0261935483870968,0,0.327419354838705
26,0.054,0.0391916257050261,0.0688083742949739,0,0,0,0.0276451612903226,0,0.487903225806448
27,0.055,0.0400472348649093,0.0699527651350907,0,0,0,0.0289677419354839,0,0.520161290322577
28,0.059,0.0434801590770338,0.0745198409229662,0,0,0,0.0307741935483871,0,0.646774193548386
29,0.061,0.045202506231314,0.076797493768686,0,0,0,0.0318387096774194,0,0.711290322580644
30,0.068,0.0512581837300379,0.0847418162699621,0,0,0,0.0330645161290323,0,0.775806451612902
31,0.071,0.0538652651360172,0.0881347348639828,0,0,0,0.0348387096774194,0,0.838709677419355
32,0.074,0.056478695473481,0.091521304526519,0,0,0,0.0366774193548387,0,0.871774193548386
33,0.078,0.0599724000464075,0.0960275999535925,0,0,0,0.0383870967741935,0,0.904032258064515
34,0.081,0.0625990254314961,0.0994009745685039,0,0,0,0.0402258064516129,0,0.936290322580644
35,0.093,0.0731530442182246,0.112846955781775,0,0,0,0.0425161290322581,0,0.967741935483871
36,0.097,0.0766858776736116,0.117314122326388,0,0,0,0.0443225806451613,0,0.968548387096773
37,0.104,0.0828836556194023,0.125116344380598,0,0,0,0.0466129032258065,0,1
38,0.109,0.0873214381267258,0.130678561873274,0,0,0,0.0489677419354839,0,1
39,0.12,0.0971121310416512,0.142887868958349,0,0,0,0.0521290322580645,0,1
40,0.128,0.104253324713637,0.151746675286363,0,0,0,0.0543870967741935,0,1
41,0.132,0.107829636915989,0.156170363084011,0,0,0,0.0568387096774194,0,1
42,0.14,0.114992466251426,0.165007533748574,0,0,0,0.0594516129032258,0,1
43,0.145,0.119475513419372,0.170524486580628,0,0,0,0.0622258064516129,0,1
44,0.149,0.123065109092335,0.174934890907665,0,0,0,0.0649677419354838,0,1
45,0.152,0.125759026709261,0.178240973290739,0,0,0,0.0678709677419355,0,1
46,0.16,0.13294943007378,0.18705056992622,0,0,0,0.0708387096774193,0,1
47,0.168,0.140148470557119,0.195851529442881,0,0,0,0.0737419354838709,0,1
48,0.173,0.14465174255583,0.20134825744417,0,0,0,0.0768709677419354,0,1
49,0.182,0.152764191163277,0.211235808836723,0,0,0,0.0798387096774193,0,1
50,0.19,0.159981404939892,0.220018595060108,0,0,0,0.0828064516129032,0,1
51,0.201,0.16991286419569,0.232087135804311,0,0,0,0.086258064516129,0,1
52,0.209,0.177140352039899,0.240859647960101,0,0,0,0.0893225806451612,0,1
53,0.224,0.190699617661091,0.257300382338909,0,0,0,0.0936451612903225,0,1
54,0.234,0.199742977316568,0.268257022683432,0,0,0,0.0975161290322581,0,1
55,0.244,0.208788049166775,0.279211950833225,0,0,0,0.101838709677419,0,1
56,0.254,0.217833747011504,0.290166252988496,0,0,0,0.105967741935484,0,1
57,0.263,0.225974562266616,0.300025437733384,0,0,0,0.110354838709677,0,1
58,0.28,0.241348278750416,0.318651721249584,0,0,0,0.116096774193548,0,1
59,0.294,0.254003002945582,0.333996997054418,0,0,0,0.121774193548387,0,1
60,0.307,0.265746705059664,0.348253294940336,0,0,0,0.126548387096774,0,1
