"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0.004,7.21364013246085e-05,0.00792786359867539,0,0,0,0.000225806451612903,0,0
3,0.006,0.00118453196518073,0.0108154680348193,0,0,0,0.000741935483870968,0,0
4,0.006,0.00118453196518073,0.0108154680348193,0,0,0,0.00158064516129032,0,0
5,0.007,0.00179608173032065,0.0122039182696793,0,0,0,0.00254838709677419,0,0
6,0.009,0.00309336004482749,0.0149066399551725,0,0,0,0.00341935483870968,0,0
7,0.01,0.00377071108359546,0.0162292889164045,0,0,0,0.00448387096774194,0,0
8,0.01,0.00377071108359546,0.0162292889164045,0,0,0,0.00551612903225806,0,0
9,0.012,0.00516925265349824,0.0188307473465018,0,0,0,0.0062258064516129,0,0
10,0.015,0.00735137117892105,0.022648628821079,0,0,0,0.007,0,0
11,0.016,0.00809651718225398,0.023903482817746,0,0,0,0.00764516129032258,0,0
12,0.018,0.00960855833131026,0.0263914416686897,0,0,0,0.0087741935483871,0,0
13,0.019,0.0103742201818057,0.0276257798181943,0,0,0,0.00964516129032258,0,0
14,0.023,0.0134901710061472,0.0325098289938528,0,0,0,0.0105161290322581,0,0
15,0.023,0.0134901710061472,0.0325098289938528,0,0,0,0.0112903225806452,0,0
16,0.025,0.0150751542025801,0.0349248457974199,0,0,0,0.0122903225806452,0,0.000806451612902492
17,0.025,0.0150751542025801,0.0349248457974199,0,0,0,0.0131290322580645,0,0.000806451612902492
18,0.026,0.015873409066102,0.036126590933898,0,0,0,0.0137741935483871,0,0.0330645161290315
19,0.027,0.0166752027211707,0.0373247972788293,0,0,0,0.0150322580645161,0,0.0346774193548365
20,0.031,0.0199139960308447,0.0420860039691553,0,0,0,0.0159032258064516,0,0.0975806451612896
21,0.037,0.0248509088665596,0.0491490911334404,0,0,0,0.0171935483870968,0,0.0975806451612896
22,0.041,0.028184407307565,0.053815592692435,0,0,0,0.0187096774193548,0,0.193548387096774
23,0.046,0.0323899161813249,0.0596100838186751,0,0,0,0.0201290322580645,0,0.194354838709677
24,0.048,0.0340825965910642,0.0619174034089358,0,0,0,0.0216451612903226,0,0.258064516129032
25,0.055,0.0400472348649093,0.0699527651350907,0,0,0,0.0236129032258064,0,0.323387096774193
26,0.056,0.0409039235089468,0.0710960764910532,0,0,0,0.0252903225806452,0,0.387903225806451
27,0.059,0.0434801590770338,0.0745198409229662,0,0,0,0.026741935483871,0,0.451612903225806
28,0.065,0.0486579345979684,0.0813420654020316,0,0,0,0.0285161290322581,0,0.483870967741935
29,0.068,0.0512581837300379,0.0847418162699621,0,0,0,0.0301935483870968,0,0.516935483870967
30,0.069,0.0521264766727964,0.0858735233272036,0,0,0,0.0321290322580645,0,0.51774193548387
31,0.073,0.0556068743507967,0.0903931256492033,0,0,0,0.0341290322580645,0,0.551612903225803
32,0.077,0.0590980399579326,0.0949019600420674,0,0,0,0.0362903225806452,0,0.646774193548386
33,0.082,0.0634757063471319,0.100524293652868,0,0,0,0.0381935483870968,0,0.710483870967741
34,0.087,0.0678671217072962,0.106132878292704,0,0,0,0.0406774193548387,0,0.74274193548387
35,0.095,0.0749186186119321,0.115081381388068,0,0,0,0.0433548387096774,0,0.807258064516128
36,0.098,0.0775701188367162,0.118429881163284,0,0,0,0.0458387096774193,0,0.808064516129031
37,0.105,0.083770527496113,0.126229472503887,0,0,0,0.0484193548387097,0,0.871774193548386
38,0.108,0.0864332093857453,0.129566790614255,0,0,0,0.0508064516129032,0,0.904032258064515
39,0.112,0.0899880458358163,0.134011954164184,0,0,0,0.0531935483870968,0,0.936290322580644
40,0.117,0.0944384646675544,0.139561535332446,0,0,0,0.0561612903225806,0,0.967741935483871
41,0.123,0.0997881994388465,0.146211800561153,0,0,0,0.0588064516129032,0,0.967741935483871
42,0.126,0.102466548469018,0.149533451530982,0,0,0,0.0615161290322581,0,1
43,0.132,0.107829636915989,0.156170363084011,0,0,0,0.0651612903225807,0,1
44,0.14,0.114992466251426,0.165007533748574,0,0,0,0.068258064516129,0,1
45,0.148,0.122167458743023,0.173832541256977,0,0,0,0.0711935483870968,0,1
46,0.153,0.126657312398264,0.179342687601736,0,0,0,0.0741935483870968,0,1
47,0.159,0.132050132418442,0.185949867581558,0,0,0,0.0773870967741935,0,1
48,0.165,0.137447893676268,0.192552106323732,0,0,0,0.0805806451612903,0,1
49,0.176,0.147355001792109,0.204644998207891,0,0,0,0.0838387096774193,0,1
50,0.181,0.151862424764605,0.210137575235395,0,0,0,0.0872258064516129,0,1
51,0.186,0.156372136097749,0.215627863902251,0,0,0,0.0903870967741935,0,1
52,0.194,0.163591890855613,0.224408109144387,0,0,0,0.0932903225806451,0,1
53,0.202,0.170816108521878,0.233183891478122,0,0,0,0.0969999999999999,0,1
54,0.215,0.182563015525739,0.247436984474261,0,0,0,0.100645161290322,0,1
55,0.237,0.202456369830009,0.271543630169991,0,0,0,0.104451612903226,0,1
56,0.249,0.213310885187331,0.284689114812669,0,0,0,0.109129032258064,0,1
57,0.261,0.224165557096211,0.297834442903789,0,0,0,0.113483870967742,0,1
58,0.275,0.236827252906168,0.313172747093832,0,0,0,0.117290322580645,0,1
59,0.29,0.250388079756819,0.329611920243181,0,0,0,0.121709677419355,0,1
60,0.308,0.266649726884757,0.349350273115243,0,0,0,0.126483870967742,0,1
