"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0.001,-0.000960980735613036,0.00296098073561304,0.001,-0.000960980735613036,0.00296098073561304,0.000903225806451613,0,0
1,0.001,-0.000960980735613036,0.00296098073561304,0.001,-0.000960980735613036,0.00296098073561304,0.000903225806451613,0,0
2,0.001,-0.000960980735613036,0.00296098073561304,0.001,-0.000960980735613036,0.00296098073561304,0.000903225806451613,0,0
3,0.002,-0.000774634605563186,0.00477463460556319,0.001,-0.000960980735613036,0.00296098073561304,0.000967741935483871,0,0
4,0.003,-0.000399923298444528,0.00639992329844453,0.001,-0.000960980735613036,0.00296098073561304,0.00119354838709677,0,0
5,0.003,-0.000399923298444528,0.00639992329844453,0.001,-0.000960980735613036,0.00296098073561304,0.00141935483870968,0,0
6,0.004,7.21364013246085e-05,0.00792786359867539,0.001,-0.000960980735613036,0.00296098073561304,0.00170967741935484,0,0
7,0.007,0.00179608173032065,0.0122039182696793,0.001,-0.000960980735613036,0.00296098073561304,0.00209677419354839,0,0
8,0.008,0.00243397402437876,0.0135660259756212,0.001,-0.000960980735613036,0.00296098073561304,0.00258064516129032,0,0
9,0.008,0.00243397402437876,0.0135660259756212,0.001,-0.000960980735613036,0.00296098073561304,0.00293548387096774,0,0
10,0.009,0.00309336004482749,0.0149066399551725,0.001,-0.000960980735613036,0.00296098073561304,0.00367741935483871,0,0
11,0.01,0.00377071108359546,0.0162292889164045,0.001,-0.000960980735613036,0.00296098073561304,0.00448387096774194,0,0
12,0.01,0.00377071108359546,0.0162292889164045,0.001,-0.000960980735613036,0.00296098073561304,0.0047741935483871,0,0
13,0.01,0.00377071108359546,0.0162292889164045,0.001,-0.000960980735613036,0.00296098073561304,0.00529032258064516,0,0
14,0.012,0.00516925265349824,0.0188307473465018,0.001,-0.000960980735613036,0.00296098073561304,0.00570967741935484,0,0
15,0.016,0.00809651718225398,0.023903482817746,0.001,-0.000960980735613036,0.00296098073561304,0.00619354838709677,0,0
16,0.017,0.00884913362985709,0.0251508663701429,0.001,-0.000960980735613036,0.00296098073561304,0.00651612903225806,0,0
17,0.017,0.00884913362985709,0.0251508663701429,0.001,-0.000960980735613036,0.00296098073561304,0.00680645161290323,0,0
18,0.019,0.0103742201818057,0.0276257798181943,0.001,-0.000960980735613036,0.00296098073561304,0.00729032258064516,0,0
19,0.022,0.0127039599872741,0.0312960400127259,0.001,-0.000960980735613036,0.00296098073561304,0.00793548387096774,0,0
20,0.023,0.0134901710061472,0.0325098289938528,0.001,-0.000960980735613036,0.00296098073561304,0.0084516129032258,0,0
21,0.025,0.0150751542025801,0.0349248457974199,0.001,-0.000960980735613036,0.00296098073561304,0.00906451612903226,0,0.000806451612902492
22,0.028,0.017480333917581,0.038519666082419,0.001,-0.000960980735613036,0.00296098073561304,0.00958064516129032,0,0.032258064516129
23,0.031,0.0199139960308447,0.0420860039691553,0.001,-0.000960980735613036,0.00296098073561304,0.0105161290322581,0,0.0645161290322581
24,0.034,0.0223719479618081,0.0456280520381919,0.001,-0.000960980735613036,0.00296098073561304,0.0115483870967742,0,0.0645161290322581
25,0.037,0.0248509088665596,0.0491490911334404,0.001,-0.000960980735613036,0.00296098073561304,0.0123870967741935,0,0.0967741935483871
