"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0.002,-0.000774634605563186,0.00477463460556319,0,0,0,6.45161290322581e-05,0,0
6,0.004,7.21364013246085e-05,0.00792786359867539,0,0,0,0.000129032258064516,0,0
7,0.004,7.21364013246085e-05,0.00792786359867539,0,0,0,0.000129032258064516,0,0
8,0.004,7.21364013246085e-05,0.00792786359867539,0,0,0,0.000129032258064516,0,0
9,0.004,7.21364013246085e-05,0.00792786359867539,0,0,0,0.000129032258064516,0,0
10,0.004,7.21364013246085e-05,0.00792786359867539,0,0,0,0.000129032258064516,0,0
11,0.007,0.00179608173032065,0.0122039182696793,0,0,0,0.000225806451612903,0,0
12,0.007,0.00179608173032065,0.0122039182696793,0,0,0,0.000225806451612903,0,0
13,0.007,0.00179608173032065,0.0122039182696793,0,0,0,0.000225806451612903,0,0
14,0.009,0.00309336004482749,0.0149066399551725,0,0,0,0.000290322580645161,0,0
15,0.009,0.00309336004482749,0.0149066399551725,0,0,0,0.000290322580645161,0,0
16,0.009,0.00309336004482749,0.0149066399551725,0,0,0,0.000290322580645161,0,0
17,0.011,0.00446336450151606,0.0175366354984839,0,0,0,0.000354838709677419,0,0
18,0.012,0.00516925265349824,0.0188307473465018,0,0,0,0.000387096774193548,0,0
19,0.013,0.00588673200559098,0.020113267994409,0,0,0,0.000419354838709677,0,0
20,0.016,0.00809651718225398,0.023903482817746,0,0,0,0.000516129032258064,0,0
21,0.019,0.0103742201818057,0.0276257798181943,0,0,0,0.000612903225806451,0,0
22,0.02,0.0111456225515285,0.0288543774484715,0,0,0,0.000677419354838709,0,0
23,0.021,0.011922330376036,0.030077669623964,0,0,0,0.000774193548387097,0,0
24,0.021,0.011922330376036,0.030077669623964,0,0,0,0.000774193548387097,0,0
25,0.024,0.0142806598078629,0.0337193401921371,0,0,0,0.000903225806451613,0,0
26,0.027,0.0166752027211707,0.0373247972788293,0,0,0,0.001,0,0.032258064516129
27,0.031,0.0199139960308447,0.0420860039691553,0,0,0,0.00112903225806452,0,0.032258064516129
28,0.035,0.0231960751236275,0.0468039248763725,0,0,0,0.00125806451612903,0,0.032258064516129
29,0.036,0.0240224275972174,0.0479775724027826,0,0,0,0.00129032258064516,0,0.032258064516129
30,0.037,0.0248509088665596,0.0491490911334404,0,0,0,0.00132258064516129,0,0.032258064516129
31,0.039,0.0265139036742136,0.0514860963257864,0,0,0,0.00138709677419355,0,0.032258064516129
32,0.043,0.0298618465422251,0.0561381534577749,0,0,0,0.00151612903225806,0,0.032258064516129
33,0.047,0.0332355599052206,0.0607644400947794,0,0,0,0.00164516129032258,0,0.032258064516129
34,0.049,0.0349309798092677,0.0630690201907323,0,0,0,0.00174193548387097,0,0.032258064516129
35,0.05,0.0357806654978438,0.0642193345021562,0,0,0,0.00180645161290322,0,0.032258064516129
36,0.051,0.0366316117968149,0.0653683882031851,0,0,0,0.00187096774193548,0,0.032258064516129
37,0.054,0.0391916257050261,0.0688083742949739,0,0,0,0.002,0,0.032258064516129
38,0.057,0.0417616602302103,0.0722383397697897,0,0,0,0.00209677419354839,0,0.032258064516129
39,0.062,0.0460650576386451,0.0779349423613549,0,0,0,0.00229032258064516,0,0.032258064516129
40,0.064,0.0477927946803434,0.0802072053196566,0,0,0,0.00241935483870968,0,0.032258064516129
41,0.069,0.0521264766727964,0.0858735233272036,0,0,0,0.00261290322580645,0,0.032258064516129
42,0.076,0.0582242930499021,0.0937757069500979,0,0,0,0.00290322580645161,0,0.032258064516129
43,0.08,0.0617229057584898,0.0982770942415102,0,0,0,0.00306451612903226,0,0.032258064516129
44,0.084,0.0652307042518347,0.102769295748165,0,0,0,0.0032258064516129,0,0.032258064516129
45,0.091,0.0713892218853553,0.110610778114645,0,0,0,0.00351612903225806,0,0.032258064516129
46,0.093,0.0731530442182246,0.112846955781775,0,0,0,0.00361290322580645,0,0.032258064516129
47,0.106,0.0846577479493124,0.127342252050688,0,0,0,0.00403225806451613,0,0.032258064516129
48,0.116,0.0935477983826516,0.138452201617348,0,0,0,0.00438709677419355,0,0.032258064516129
49,0.126,0.102466548469018,0.149533451530982,0,0,0,0.00474193548387096,0,0.032258064516129
50,0.134,0.109619111713765,0.158380888286235,0,0,0,0.005,0,0.032258064516129
51,0.145,0.119475513419372,0.170524486580628,0,0,0,0.00538709677419354,0,0.032258064516129
52,0.151,0.12486089580796,0.17713910419204,0,0,0,0.00558064516129032,0,0.032258064516129
53,0.16,0.13294943007378,0.18705056992622,0,0,0,0.00590322580645161,0,0.032258064516129
54,0.175,0.146453812014827,0.203546187985173,0,0,0,0.00641935483870967,0,0.032258064516129
55,0.181,0.151862424764605,0.210137575235395,0,0,0,0.0066774193548387,0,0.032258064516129
56,0.189,0.159078969534483,0.218921030465517,0,0,0,0.00703225806451612,0,0.032258064516129
57,0.197,0.1663004922541,0.2276995077459,0,0,0,0.00732258064516129,0,0.032258064516129
58,0.207,0.175333165638372,0.238666834361628,0,0,0,0.00770967741935483,0,0.032258064516129
59,0.216,0.183466939891858,0.248533060108142,0,0,0,0.00806451612903225,0,0.0645161290322581
60,0.225,0.191603844146273,0.258396155853727,0,0,0,0.00841935483870968,0,0.0645161290322581
